高等数学i1,线性代数与解析几何ii,大学物理实验i1,大学物理ii1,高等数学i2,程序设计基础,工程制图iii,电路,概率统计与随机过程,数据结构与算法i,离散数学a,大学物理实验i2,数据结构与程序设计专题实验,面向对象程序设计,大学物理ii2,模拟电子技术基础,形式语言与编译,电子技术实验1,编译器设计专题实验,电子技术实验2,数字逻辑电路,汇编语言,数学建模ii,数理逻辑,计算机组成,操作系统原理i,计算机网络原理,操作系统设计专题实验,计算机组成与结构专题实验,人工智能,计算机图形学,数据库系统,计算机网络专题实验,软件工程,计算机系统综合设计实验,软件定义网络,毕业设计（论文）
83.0,95.0,83.0,95.0,85.0,96.0,91.0,85.0,82.0,88.0,86.0,87.0,95.0,92.0,92.0,90.0,86.0,83.0,78.0,87.0,90.0,87.0,97.0,90.0,80.0,87.0,72.0,92.0,95.0,0.0,80.0,78.0,83.0,72.0,92.0,0.0,83.0
92.0,0.0,87.0,99.0,88.0,90.0,94.0,93.0,93.0,93.0,93.0,87.0,94.0,94.0,95.0,97.0,89.0,92.0,88.0,92.0,93.0,96.0,0.0,95.0,85.0,87.0,92.0,98.0,100.0,92.0,97.0,89.0,98.0,86.0,87.0,98.0,83.0
0.0,93.0,87.0,100.0,0.0,98.0,0.0,97.0,90.0,91.0,89.0,87.0,92.0,94.0,96.0,93.0,80.0,92.0,87.0,92.0,83.0,93.0,99.0,0.0,89.0,87.0,90.0,98.0,97.0,89.0,92.0,89.0,92.0,84.0,92.0,88.0,92.0
88.0,98.0,92.0,0.0,89.0,100.0,84.0,78.0,87.0,86.0,89.0,92.0,91.0,95.0,0.0,91.0,75.0,79.0,70.0,92.0,79.0,84.0,0.0,0.0,89.0,82.0,84.0,92.0,95.0,81.0,88.0,79.0,79.0,62.0,87.0,0.0,73.0
83.0,96.0,87.0,89.0,84.0,90.0,83.0,79.0,64.0,81.0,80.0,87.0,85.0,90.0,86.0,87.0,77.0,98.0,85.0,76.0,83.0,81.0,94.0,88.0,79.0,72.0,74.0,92.0,100.0,79.0,73.0,79.0,92.0,67.0,87.0,80.0,83.0
81.0,85.0,92.0,86.0,79.0,77.0,80.0,72.0,67.0,93.0,76.0,92.0,88.0,87.0,89.0,94.0,82.0,98.0,85.0,87.0,85.0,92.0,98.0,0.0,86.0,82.0,92.0,87.0,95.0,98.0,88.0,77.0,83.0,69.0,87.0,84.0,87.0
82.0,79.0,83.0,79.0,80.0,72.0,78.0,77.0,75.0,72.0,78.0,87.0,82.0,84.0,79.0,83.0,73.0,92.0,85.0,83.0,70.0,89.0,93.0,81.0,70.0,78.0,82.0,92.0,95.0,0.0,78.0,80.0,98.0,91.0,98.0,0.0,83.0
87.0,82.0,87.0,94.0,82.0,76.0,88.0,81.0,78.0,83.0,87.0,87.0,87.0,86.0,86.0,88.0,81.0,92.0,76.0,92.0,72.0,87.0,95.0,92.0,79.0,87.0,86.0,92.0,100.0,78.0,81.0,81.0,92.0,72.0,87.0,84.0,92.0
76.0,85.0,83.0,94.0,84.0,80.0,72.0,87.0,88.0,80.0,88.0,79.0,79.0,95.0,86.0,85.0,80.0,79.0,90.0,87.0,87.0,88.0,0.0,0.0,69.0,94.0,91.0,83.0,95.0,86.0,0.0,75.0,79.0,70.0,87.0,88.0,92.0
91.0,0.0,92.0,92.0,87.0,97.0,0.0,85.0,80.0,85.0,83.0,87.0,92.0,97.0,88.0,99.0,87.0,98.0,85.0,87.0,94.0,93.0,97.0,94.0,92.0,87.0,87.0,98.0,100.0,87.0,96.0,78.0,92.0,87.0,92.0,91.0,92.0
