xh,24式太极拳,专业实习II,专业实习Ⅰ,中国近现代史纲要,习近平新时代中国特色社会主义思想概论,人工智能,优化方法基础,体育-1,体育-2,体育-3,体育-4,军训,国防教育,大学化学,大学化学实验,大学物理II-1,大学物理II-2,大学物理实验I-1,大学物理实验I-2,大学英语I,大学英语III1,大学英语III2,大学计算机III,工程与社会,工程制图,形势与政策,形式语言与编译,思想道德修养与法律基础,操作系统原理I,操作系统设计专题实验,数字逻辑电路,数学建模II,数据库系统,数据结构与程序设计专题实验,数据结构与算法I,数理逻辑,概率统计与随机过程,模拟电子技术,模拟电子技术基础,毕业设计（论文）,毛泽东思想和中国特色社会主义理论体系概论,汇编语言,测控实习,生命科学基础I,电子技术实验1,电子技术实验2,电工实习,电路,离散数学A,程序设计基础,算法分析与设计,线性代数与解析几何,编译器设计专题实验,表达与交流,计算机图形学,计算机科学技术导论,计算机系统综合设计实验,计算机组成,计算机组成与结构专题实验,计算机网络专题实验,计算机网络原理,课外实践8学分,软件定义网络,软件工程,金工实习,面向对象程序设计,项目设计,马克思主义基本原理,高等数学I-1,高等数学I-2
000ff90ed8b9ddec42620ec3f84c9dff,65,92,80,74.0,0,84,0,0,0,0,0,82,83,0,0,92.0,92,86,82,0,90,82,0,0,75,60,83,86,98,87,85,99.0,80,0,0,0.0,91,0,92,0,0,96,98,84,80,83,92,77,72.0,92,90,93,83,79,86,73.0,83,90,72,87,82,60,84,93,87,94,87,86,96,94
003d7d9d852796d75079afc0a5dffd63,0,83,79,70.0,0,65,64,0,0,0,0,88,74,0,0,85.0,67,88,79,0,73,76,0,78,67,60,62,60,69,87,66,0.0,60,79,63,73.0,75,0,60,76,69,60,98,69,92,79,92,60,75.0,92,62,71,79,89,64,88.0,83,88,62,76,75,60,64,76,92,79,70,72,75,62
00447c962bc4fc3e461a8fddb7de11db,0,0,0,83.0,85,0,0,90,89,78,89,88,89,82,98,93.0,88,98,87,85,0,0,76,0,87,0,0,0,0,0,82,94.0,0,87,89,0.0,86,87,0,0,87,0,83,0,87,87,83,67,75.0,86,86,92,0,0,0,92.0,0,0,0,0,0,0,0,0,92,0,0,86,81,87
00616e4b8dec25fcf24ccd6c556d1a13,73,87,100,83.0,87,95,0,88,83,78,89,74,94,90,97,97.0,96,98,98,80,0,0,0,77,0,60,70,87,90,98,87,93.0,90,92,90,0.0,96,89,0,92,91,91,98,0,92,87,87,95,92.0,80,74,94,84,95,0,92.0,76,87,87,87,90,60,94,0,92,97,92,0,92,96
0062c5d8f780ba2bc295400c1cc73a7b,0,0,0,78.0,0,0,0,78,82,0,0,81,84,92,96,94.0,0,98,0,68,0,0,78,0,84,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,100,0,93,0,0,0,93.0,0,0,0,0,0,0,0,0,0,0,0,0,86,85
00780671b15c41adebb4d039c4931324,76,92,76,91.0,0,81,85,0,0,0,0,82,83,0,0,90.0,89,79,83,0,90,84,0,96,80,0,66,94,86,92,73,0.0,69,0,88,86.0,93,0,77,0,86,81,83,85,83,79,87,97,89.0,91,83,78,79,88,0,82.0,83,87,83,92,74,60,88,74,87,86,87,81,81,84
008a7f53b0bc586dff1eb7e0be77cd14,75,83,92,88.0,0,83,88,0,0,0,0,88,97,0,0,82.0,85,85,92,0,82,85,0,94,90,60,68,74,88,83,90,93.0,76,98,79,87.0,73,0,66,87,86,93,98,85,92,87,87,81,84.0,99,85,87,87,76,81,87.0,85,84,79,76,68,60,87,74,92,93,87,85,76,86
00e54b919cf8c2d76a2a81497e330efc,84,79,80,76.0,0,0,0,0,0,0,0,92,77,0,0,82.0,87,84,91,0,79,76,0,0,87,60,91,82,90,85,92,81.0,83,0,0,0.0,87,0,95,0,0,89,98,83,90,76,87,88,72.0,87,88,76,80,62,83,84.0,70,85,85,93,91,60,82,91,92,91,83,82,82,88
00e8de159ad98b8c3e86f6a993d07cdd,71,98,87,77.0,0,81,79,0,0,0,0,74,85,0,0,65.0,60,88,87,0,0,0,0,95,81,0,60,80,71,98,65,0.0,68,0,81,76.0,67,0,72,0,92,75,76,78,87,83,87,64,72.0,87,79,71,78,66,0,85.0,83,60,83,92,60,60,73,80,87,81,79,78,60,78
00ec859ea91d786118e6b4235d66f0c3,70,79,80,73.0,0,89,90,0,0,0,0,83,77,0,0,81.0,82,80,85,0,72,77,0,0,77,60,76,89,90,93,66,0.0,68,0,0,82.0,82,0,78,0,0,87,87,80,80,87,87,81,80.0,86,93,95,86,70,0,81.0,83,73,90,89,81,60,89,86,87,95,92,79,92,90
00f346296188c31686e35b8fc0e5114e,65,0,0,0.0,0,0,0,0,0,0,0,92,0,0,0,84.0,0,0,0,0,62,64,0,0,0,0,0,0,0,30,48,0.0,60,79,0,66.0,0,64,0,0,0,63,79,60,80,70,76,73,0.0,0,0,0,0,80,69,0.0,30,60,62,30,64,60,0,65,92,0,62,71,0,61
01503dc14fefdef95bc83714a968a537,0,0,83,72.0,76,79,0,81,72,72,75,90,78,75,90,0.0,0,79,83,75,0,0,82,86,66,0,83,77,84,92,80,77.0,85,87,80,0.0,78,82,0,0,79,0,98,0,79,83,92,74,84.0,97,85,80,80,0,0,90.0,0,75,71,98,72,0,81,0,87,93,0,79,80,78
0160275260007afb2acffeb2321c322b,0,0,0,81.0,0,0,0,98,0,0,97,89,82,0,0,65.0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,63.0,0,0,86,0,0,0,86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
