人工智能,大学物理II-2,大学英语i,大学英语iii1,大学计算机iii,工程制图,形式语言与编译,操作系统原理i,数字逻辑电路,数学建模ii,数据库系统,数理逻辑,概率统计与随机过程,模拟电子技术基础,电路,离散数学a,程序设计基础,线性代数与解析几何,编译器设计专题实验,计算机图形学,计算机组成,计算机网络原理,软件工程,高等数学I-1,高等数学I-2
84,92,0,90,0,75,83,98,85,99,80,0,91,92,77,72,92,93,83,86,90,82,93,96,94
65,67,0,73,0,67,62,69,66,0,60,73,75,60,60,75,92,71,79,64,88,75,76,75,62
0,88,85,0,76,87,0,0,82,94,0,0,86,0,67,75,86,92,0,0,0,0,0,81,87
95,96,80,0,0,0,70,90,87,93,90,0,96,0,95,92,80,94,84,0,87,90,0,92,96
0,0,68,0,78,84,0,0,0,0,0,0,0,0,0,0,100,93,0,0,0,0,0,86,85
81,89,0,90,0,80,66,86,73,0,69,86,93,77,97,89,91,78,79,0,87,74,74,81,84
83,85,0,82,0,90,68,88,90,93,76,87,73,66,81,84,99,87,87,81,84,68,74,76,86
0,87,0,79,0,87,91,90,92,81,83,0,87,95,88,72,87,76,80,83,85,91,91,82,88
81,60,0,0,0,81,60,71,65,0,68,76,67,72,64,72,87,71,78,0,60,60,80,60,78
89,82,0,72,0,77,76,90,66,0,68,82,82,78,81,80,86,95,86,0,73,81,86,92,90
0,0,0,62,0,0,0,0,48,0,60,66,0,0,73,0,0,0,0,69,60,64,65,0,61
79,0,75,0,82,66,83,84,80,77,85,0,78,0,74,84,97,80,80,0,75,72,0,80,78
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,86,0,0,0,0,0,0,0
81,92,81,0,77,84,0,87,81,0,87,0,72,0,77,86,73,73,87,0,84,84,0,75,79
97,97,0,79,0,87,89,94,91,0,84,90,81,86,97,91,99,92,92,95,95,94,81,87,93
0,0,79,0,93,78,0,0,0,0,0,0,0,0,0,0,100,93,0,0,0,0,0,90,78
0,0,0,0,0,88,0,0,90,93,0,0,90,0,90,88,99,92,0,0,0,0,0,80,92
92,95,0,78,0,94,89,87,93,0,89,95,93,97,93,93,90,0,88,97,85,92,86,92,88
71,60,0,83,0,71,61,78,74,0,70,76,74,80,67,79,83,71,85,0,69,66,87,71,69
0,0,81,0,90,67,0,0,0,0,0,0,0,0,0,0,99,100,0,0,0,0,0,90,95
88,93,74,0,0,0,77,86,89,91,78,0,72,0,90,90,82,83,80,90,87,84,0,83,87
74,89,0,0,79,83,87,89,86,82,83,0,86,0,90,92,82,93,82,0,85,81,0,81,85
82,85,83,0,92,88,0,91,87,0,0,0,94,0,78,88,100,94,91,93,78,87,0,92,95
81,86,0,75,0,91,81,89,81,0,84,0,82,61,88,94,84,88,89,0,83,87,83,75,82
79,76,80,0,81,79,82,78,60,78,70,0,77,0,80,78,84,85,84,0,75,84,0,80,81
0,81,85,0,81,88,0,0,72,84,0,0,67,0,80,84,86,65,0,0,0,0,0,66,77
86,90,0,79,0,79,68,83,82,0,85,0,79,90,92,80,69,91,72,90,85,79,75,87,82
94,85,0,85,0,89,81,93,91,98,87,90,86,95,79,88,84,96,71,94,86,84,81,81,88
92,88,0,85,0,88,85,87,90,98,75,97,86,95,82,89,89,0,84,0,85,81,83,89,92
74,76,0,0,0,74,67,71,83,96,76,0,81,80,84,74,91,91,65,84,76,68,62,95,86
88,80,0,76,0,85,88,90,89,88,77,89,80,71,78,77,92,80,91,0,80,88,76,82,89
60,80,0,84,0,80,70,60,65,0,82,0,90,60,87,84,90,71,79,0,60,60,82,68,78
84,72,0,78,0,67,65,83,76,0,66,85,77,87,89,71,77,73,81,0,85,75,70,64,72
87,88,0,76,0,0,87,87,94,97,78,94,80,99,85,83,97,0,85,96,92,87,87,91,87
89,86,0,75,0,80,65,65,84,0,80,80,66,62,78,91,89,85,74,86,77,81,72,79,71
73,87,0,74,0,87,73,75,68,96,79,0,66,79,79,86,93,81,71,0,80,60,68,64,75
0,0,73,0,78,90,0,0,83,95,0,0,97,0,86,88,95,89,0,0,0,0,0,85,82
0,0,77,0,86,74,0,0,78,85,0,0,76,0,91,86,76,85,0,0,0,0,0,70,75
89,0,0,78,0,84,80,95,87,98,82,93,80,87,86,86,94,85,73,96,88,86,80,90,79
67,79,0,79,0,99,73,80,84,96,80,90,66,88,80,89,91,81,76,83,75,74,73,87,64
91,90,0,69,0,82,77,89,88,80,83,92,81,74,81,86,92,84,88,90,84,84,80,81,85
0,93,68,0,83,88,78,81,85,0,86,0,93,0,89,92,82,82,70,0,80,81,0,80,84
0,0,0,0,77,67,0,0,0,0,0,0,0,0,0,0,93,92,0,0,0,0,0,87,88
0,100,0,73,0,88,79,60,80,93,84,93,92,92,94,60,60,0,79,0,60,60,84,0,0
26,70,0,80,0,87,74,71,82,0,65,0,60,94,60,69,90,75,90,0,60,84,60,62,74
0,67,0,0,70,0,0,0,64,87,0,0,26,0,44,69,0,93,0,0,0,0,0,0,0
0,0,80,0,80,96,0,0,0,0,0,0,0,0,0,0,94,98,0,0,0,0,0,83,91
0,96,83,0,83,85,0,0,84,95,0,0,90,0,96,97,84,95,0,0,0,0,0,83,85
0,86,72,0,0,0,0,0,0,92,0,0,90,0,85,87,90,79,0,0,0,0,0,81,84
0,90,80,0,88,78,83,86,82,93,87,0,87,0,90,87,94,81,86,0,87,94,0,81,70
0,0,81,0,74,92,0,0,0,0,0,0,0,0,0,0,83,99,0,0,0,0,0,90,90
74,68,0,71,0,82,60,66,62,0,74,0,66,70,61,90,93,69,79,0,80,60,77,75,80
0,89,0,0,96,94,0,0,83,88,0,0,85,0,94,94,100,89,0,0,0,0,0,74,79
68,0,0,82,0,65,84,77,62,73,71,77,63,61,74,80,75,0,66,76,82,65,63,0,0
81,92,0,80,0,0,82,88,79,85,89,92,92,89,92,82,95,90,90,0,90,89,86,0,0
0,91,0,0,82,81,0,0,88,94,0,0,91,0,89,97,89,95,0,0,0,0,0,76,80
0,92,0,0,94,77,0,0,80,94,0,0,78,0,90,87,97,89,0,0,0,0,0,77,70
93,91,0,78,0,82,67,86,74,97,78,0,98,79,90,78,89,96,88,0,87,69,87,90,90
89,92,80,0,79,84,82,92,83,85,84,0,88,0,88,87,73,75,87,0,82,86,0,69,71
0,87,0,0,72,0,0,0,80,88,0,0,88,0,79,85,98,94,0,0,0,0,0,81,94
77,83,0,81,0,73,74,74,87,91,82,0,71,94,67,70,81,79,66,83,83,79,77,77,77
0,91,74,0,66,71,68,86,74,92,87,0,91,0,93,92,83,83,83,86,87,86,0,88,73
78,68,0,78,0,64,61,67,66,0,74,78,67,62,71,72,89,84,79,0,75,68,76,88,68
62,83,82,0,85,80,47,55,71,76,62,0,61,0,90,78,68,88,79,72,42,63,0,80,78
85,91,0,88,0,81,81,92,86,94,78,87,81,93,90,83,99,95,78,92,81,83,78,92,95
81,80,0,74,0,62,79,85,85,0,85,0,68,67,77,68,82,80,76,90,89,81,78,70,75
65,87,0,73,0,0,69,82,77,0,67,82,90,81,85,88,0,94,78,0,64,71,73,0,0
0,96,83,0,0,0,0,0,90,94,0,0,93,0,87,94,94,93,0,0,0,0,0,88,94
0,89,78,0,83,84,0,0,88,90,0,0,86,0,91,89,100,96,0,0,0,0,0,70,80
0,0,87,0,88,96,0,0,0,0,0,0,0,0,0,0,100,97,0,0,0,0,0,98,94
90,89,0,81,0,73,84,87,82,0,85,87,84,60,88,88,88,89,77,94,85,96,83,75,84
80,86,0,0,98,93,86,91,74,0,91,0,91,0,92,88,100,89,98,0,70,89,0,86,87
0,0,71,0,75,71,0,0,0,0,0,0,0,0,0,0,76,93,0,0,0,0,0,84,85
0,94,80,0,0,0,0,0,92,90,0,0,94,0,96,92,97,95,0,0,0,0,0,79,88
0,90,87,0,81,90,0,0,83,91,0,0,72,0,67,85,87,79,0,0,0,0,0,74,78
0,0,0,0,89,87,0,0,0,0,0,0,0,0,0,0,96,90,0,0,0,0,0,83,84
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,88,91
95,93,84,0,89,82,76,90,85,99,84,0,95,0,92,95,96,89,90,93,82,91,0,83,85
0,78,86,0,89,75,0,0,86,93,0,0,80,0,88,95,90,89,0,0,0,0,0,81,75
0,80,0,74,0,83,68,90,69,0,72,0,75,93,65,73,83,64,81,82,81,82,68,60,78
72,83,0,72,0,81,84,86,83,0,81,90,92,89,91,93,99,98,94,90,87,80,81,97,92
83,85,78,0,0,0,87,86,83,83,80,0,64,0,89,75,99,81,84,0,84,84,0,73,81
0,67,0,81,0,67,65,90,61,65,69,0,63,75,67,60,77,76,79,82,60,77,79,69,84
0,0,0,0,76,94,0,0,0,0,0,0,0,0,0,0,73,96,0,0,0,0,0,89,88
67,69,0,80,0,72,60,68,77,0,61,71,63,79,73,63,75,60,75,0,68,60,70,63,74
39,0,0,0,0,0,39,61,60,66,60,69,45,63,60,76,0,70,0,61,60,60,34,0,0
80,77,0,83,0,66,72,83,81,0,73,0,72,74,70,74,92,84,81,82,86,83,77,80,78
0,74,0,77,0,63,60,79,79,70,65,82,61,72,60,60,75,61,86,75,60,64,66,60,84
0,69,0,72,0,61,63,72,66,0,75,77,70,60,88,70,91,77,79,70,75,80,71,66,70
90,73,0,76,0,62,74,80,75,0,73,87,77,73,80,67,78,82,82,94,71,85,67,77,77
0,76,80,0,60,78,0,0,67,0,0,0,73,0,69,74,94,86,0,0,0,0,0,85,78
85,78,0,82,0,90,85,89,86,0,81,98,85,91,100,88,95,91,80,0,84,85,87,90,85
65,68,0,77,0,60,61,80,67,0,77,78,83,86,60,68,83,64,97,77,78,66,76,61,70
0,93,0,0,72,84,0,0,84,92,0,0,94,0,95,88,96,94,0,0,0,0,0,77,88
89,80,0,77,0,60,76,83,78,0,75,88,90,90,89,79,83,92,78,0,94,83,85,87,87
78,92,0,84,0,0,83,82,72,0,77,0,92,94,87,90,0,96,85,0,71,71,70,0,0
0,0,70,0,85,76,0,0,0,0,0,0,0,0,0,0,100,84,0,0,0,0,0,85,81
84,92,75,0,75,60,69,89,76,92,78,0,87,0,89,86,75,80,77,0,77,82,0,83,68
75,0,0,74,0,89,77,66,67,97,64,91,79,74,80,81,89,88,75,86,82,80,74,90,67
0,90,0,82,0,0,81,94,90,97,92,98,78,88,89,91,100,87,96,98,91,92,79,80,85
0,63,0,74,0,90,75,86,81,0,75,73,79,63,60,67,89,70,79,75,66,68,71,60,68
66,0,0,0,0,0,74,0,60,80,67,61,0,0,60,0,0,0,70,0,70,61,78,0,86
0,98,0,0,0,0,0,0,85,97,0,0,97,0,90,97,100,97,0,0,0,0,0,89,93
92,96,73,0,0,0,73,91,72,89,83,0,98,0,87,91,100,94,77,0,85,84,0,84,91
0,0,85,0,83,92,0,0,0,0,0,0,0,0,0,0,92,99,0,0,0,0,0,96,97
81,0,85,0,77,80,83,78,70,0,82,0,73,0,80,83,79,74,82,0,89,70,0,69,76
0,83,0,73,0,0,77,79,91,96,85,88,74,88,82,82,95,81,74,79,80,85,75,0,0
0,97,78,0,80,78,0,0,86,91,0,0,88,0,97,95,100,96,0,0,0,0,0,91,82
0,75,75,0,70,83,0,0,82,88,0,0,72,0,63,78,82,86,0,0,0,0,0,86,78
76,61,0,63,0,88,74,78,78,0,84,0,60,63,71,80,98,77,89,85,83,72,80,71,62
0,0,78,0,69,86,0,0,0,0,0,0,0,0,0,0,90,87,0,0,0,0,0,80,76
80,74,0,79,0,76,65,61,86,0,67,82,80,81,68,75,87,78,83,76,73,72,80,65,72
96,0,0,76,0,80,85,92,91,99,94,95,90,97,92,96,94,98,85,0,95,96,84,95,96
78,93,86,0,92,93,69,92,78,93,82,0,88,0,90,84,85,87,81,84,88,88,0,85,87
70,84,0,75,0,80,60,60,68,0,72,0,71,75,85,84,94,89,80,70,69,62,78,86,81
0,0,0,0,68,70,0,0,0,0,0,0,0,0,0,0,79,88,0,0,0,0,0,87,78
89,81,0,0,0,68,76,82,61,87,76,0,71,66,80,92,89,90,80,74,72,60,78,92,93
0,0,79,0,68,73,0,0,0,0,0,0,0,0,0,0,86,84,0,0,0,0,0,71,68
94,90,0,85,0,86,85,93,85,90,76,94,87,86,86,83,90,88,84,100,92,92,86,84,87
80,83,0,0,87,83,77,75,66,94,72,0,72,0,83,76,87,74,72,88,75,81,0,76,60
0,68,88,0,89,69,73,64,74,0,67,0,63,0,62,70,89,84,73,0,60,64,0,0,0
96,93,87,0,83,95,92,89,85,0,90,0,85,0,86,90,97,82,89,0,93,97,0,78,97
95,84,77,0,78,89,89,83,87,88,82,0,70,0,71,90,84,65,81,0,91,80,0,66,79
94,0,84,0,89,75,71,79,68,94,77,0,76,0,78,69,94,74,88,0,72,83,0,81,77
0,89,0,79,0,77,70,81,71,0,80,88,81,65,79,66,88,80,85,81,83,84,75,89,78
0,80,0,0,0,0,67,67,0,0,76,0,84,0,60,72,0,82,82,0,70,60,0,0,0
0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,89,85
80,91,70,0,62,72,61,65,62,79,60,0,90,0,62,30,70,93,80,0,62,86,0,82,69
0,94,0,0,0,0,0,0,88,94,0,0,94,0,90,94,0,87,0,0,0,0,0,75,90
0,86,75,0,71,87,0,0,67,92,0,0,83,0,82,82,71,93,0,0,0,0,0,80,91
0,0,0,0,77,91,0,0,0,0,0,0,0,0,0,0,93,71,0,0,0,0,0,62,84
71,60,0,0,0,82,63,72,62,0,65,72,63,60,53,73,93,62,88,83,73,67,70,67,68
0,86,76,0,88,84,0,0,75,0,0,0,75,0,79,87,76,84,0,0,0,0,0,80,71
61,75,0,0,91,73,57,61,60,85,68,0,55,0,78,64,86,80,70,80,53,65,0,82,68
84,77,78,0,83,97,78,83,85,88,77,0,78,0,91,83,97,86,80,83,69,81,0,80,81
0,91,79,0,89,95,0,0,93,96,0,0,98,0,88,96,100,95,0,0,0,0,0,93,86
92,94,80,0,74,78,88,96,85,85,86,0,90,0,94,89,86,76,85,0,93,93,0,84,82
94,84,78,0,70,71,75,92,91,90,77,0,87,0,87,82,75,83,84,0,86,92,0,88,89
94,83,0,67,0,83,71,85,90,0,84,95,77,91,76,89,94,0,87,91,87,84,77,82,73
83,76,80,0,80,90,81,81,74,90,75,0,70,0,81,84,88,69,82,0,60,86,0,75,73
78,69,0,0,0,83,60,83,80,0,79,0,78,71,80,80,98,60,87,0,82,68,79,67,70
0,87,81,0,73,77,0,0,78,95,0,0,85,0,70,77,81,85,0,0,0,0,0,73,74
84,90,0,83,0,89,71,87,85,90,80,0,86,85,96,84,100,92,93,94,89,91,84,0,0
76,80,0,70,0,84,81,83,70,0,67,0,74,86,93,77,88,65,90,85,83,76,76,61,85
0,0,0,0,0,0,0,60,61,72,60,61,0,0,66,0,0,0,0,61,0,60,60,0,0
89,87,0,80,0,0,83,90,82,0,90,98,95,83,96,88,0,95,86,0,93,75,85,0,0
93,93,0,87,0,94,81,95,82,85,86,99,92,93,95,82,0,83,84,90,99,92,90,0,0
70,83,79,0,82,79,65,84,69,0,70,0,78,0,80,77,99,75,82,81,88,68,0,74,82
0,87,77,0,83,75,0,0,82,89,0,0,84,0,87,86,93,98,0,0,0,0,0,80,84
0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,82,60,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,75,0,0,0,89,0,0,0,0,0,0,0,0,0,0
0,88,87,0,89,70,0,0,70,91,0,0,81,0,63,91,91,84,0,0,0,0,0,78,67
89,78,0,80,0,90,74,88,87,0,60,96,94,89,91,64,81,76,88,91,85,75,60,63,60
0,77,0,84,0,75,61,80,62,0,76,0,71,85,65,69,84,76,73,73,62,76,79,65,78
0,99,72,0,85,98,77,91,91,0,87,0,88,0,94,95,97,97,80,93,90,88,0,91,94
0,78,0,0,80,74,0,0,70,93,0,0,95,0,69,83,99,85,0,0,0,0,0,90,79
0,85,79,0,85,93,86,91,83,84,86,0,90,0,97,86,90,91,84,0,75,86,0,75,87
88,77,81,0,85,81,0,78,79,84,81,0,90,0,77,93,100,92,96,89,68,73,0,87,90
89,96,83,0,88,93,87,94,88,95,88,0,86,0,88,83,82,83,84,0,89,96,0,89,94
0,79,0,81,0,81,78,84,79,95,79,87,71,90,94,90,92,83,76,69,81,75,71,87,83
0,88,86,0,0,0,0,0,86,90,0,0,87,0,92,94,0,70,0,0,0,0,0,67,76
70,90,0,73,0,75,65,68,66,81,70,0,72,78,70,76,86,69,86,63,60,60,65,70,61
0,86,0,68,0,95,85,92,87,96,90,88,84,93,85,85,100,79,72,92,95,90,77,79,79
62,83,0,70,0,63,81,60,66,0,68,70,77,65,81,86,91,87,86,65,66,62,70,94,93
0,0,0,0,83,82,0,0,0,0,0,0,0,0,0,0,79,95,0,0,0,0,0,92,85
83,89,80,0,0,0,83,90,80,91,83,0,80,0,95,89,94,93,90,90,83,91,0,90,90
0,0,72,0,78,91,0,0,0,0,0,0,0,0,0,0,91,94,0,0,0,0,0,92,91
0,91,0,0,98,88,79,97,87,90,92,0,83,0,96,85,99,90,90,92,91,90,0,86,87
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,77,0,0,0,0,0,0,0
86,83,0,89,0,95,87,90,83,0,88,0,94,87,99,84,0,95,89,60,90,60,82,0,0
84,60,0,71,0,66,61,82,70,0,69,86,70,69,73,69,87,84,84,87,83,65,68,64,68
81,91,0,72,0,72,61,83,76,93,80,89,86,86,65,76,94,94,83,0,78,80,83,86,87
0,86,87,0,83,87,73,0,67,72,67,0,77,0,87,82,98,84,85,0,0,0,0,64,79
88,95,0,87,0,75,79,95,65,0,91,95,88,95,93,99,91,99,80,0,80,84,86,93,95
72,61,0,79,0,77,63,63,61,80,65,71,65,85,63,69,92,81,74,79,65,60,65,80,74
0,93,80,0,84,86,0,0,72,94,0,0,100,0,97,92,79,94,0,0,0,0,0,75,78
0,89,80,0,89,91,0,0,85,88,0,0,97,0,91,85,94,97,0,0,0,0,0,85,90
0,96,78,0,84,91,81,84,85,85,84,0,88,0,88,92,62,90,71,83,93,75,0,72,77
71,65,0,78,0,80,73,60,60,0,60,0,71,89,62,63,92,75,85,0,66,70,60,65,70
81,80,0,75,0,70,71,76,84,92,73,76,78,70,77,83,99,91,65,79,70,77,66,76,89
73,68,0,79,0,85,73,69,66,92,72,79,79,61,61,66,84,81,67,77,77,72,70,73,67
96,98,0,82,0,87,90,90,94,0,85,94,95,83,99,95,97,96,96,0,97,96,84,92,93
89,94,0,77,0,90,86,91,86,87,80,0,67,97,97,91,89,93,97,89,92,91,88,90,95
94,0,0,79,0,66,84,93,94,100,95,99,89,96,98,94,98,0,90,0,94,96,90,85,94
0,0,0,0,87,91,0,0,0,0,0,0,0,0,0,0,92,96,0,0,0,0,0,91,85
74,88,0,75,0,72,75,77,80,96,79,0,81,87,93,84,97,80,76,83,73,71,75,0,0
93,90,0,67,0,78,84,90,82,0,84,92,73,78,80,84,87,77,83,0,87,82,84,86,82
0,72,0,60,0,75,64,68,66,0,62,0,60,81,64,68,73,60,84,67,77,60,71,63,78
0,63,0,0,0,0,69,73,71,75,80,0,71,0,68,83,0,84,82,83,60,70,0,0,0
0,75,0,0,0,88,0,0,66,88,0,0,64,0,0,75,0,93,0,0,0,0,0,0,0
