人工智能,优化方法基础,大学物理II-1,大学物理II-2,大学物理实验I-1,大学物理实验I-2,大学英语i,大学英语iii1,大学英语iii2,大学计算机iii,工程制图,形式语言与编译,操作系统原理i,操作系统设计专题实验,数字逻辑电路,数学建模ii,数据库系统,数据结构与程序设计专题实验,数据结构与算法i,数理逻辑,概率统计与随机过程,模拟电子技术,模拟电子技术基础,汇编语言,电子技术实验1,电子技术实验2,电路,离散数学a,程序设计基础,算法分析与设计,线性代数与解析几何,编译器设计专题实验,计算机图形学,计算机科学技术导论,计算机系统综合设计实验,计算机组成,计算机组成与结构专题实验,计算机网络专题实验,计算机网络原理,软件定义网络,软件工程,面向对象程序设计,高等数学I-1,高等数学I-2
84,,92.0,92,86,82,,90,82,,75,83,98,87,85,99.0,80,,,,91,,92,96,80,83,77,72.0,92,90,93,83,86,73.0,83,90,72,87,82,84,93,94,96,94
65,64,85.0,67,88,79,,73,76,,67,62,69,87,66,,60,79,63,73.0,75,,60,60,92,79,60,75.0,92,62,71,79,64,88.0,83,88,62,76,75,64,76,79,75,62
,,93.0,88,98,87,85,,,76,87,,,,82,94.0,,87,89,,86,87,,,87,87,67,75.0,86,86,92,,,92.0,,,,,,,,,81,87
95,,97.0,96,98,98,80,,,,,70,90,98,87,93.0,90,92,90,,96,89,,91,92,87,95,92.0,80,74,94,84,,92.0,76,87,87,87,90,94,,97,92,96
,,94.0,,98,,68,,,78,84,,,,,,,,,,,,,,,,,,100,,93,,,93.0,,,,,,,,,86,85
81,85,90.0,89,79,83,,90,84,,80,66,86,92,73,,69,,88,86.0,93,,77,81,83,79,97,89.0,91,83,78,79,,82.0,83,87,83,92,74,88,74,86,81,84
83,88,82.0,85,85,92,,82,85,,90,68,88,83,90,93.0,76,98,79,87.0,73,,66,93,92,87,81,84.0,99,85,87,87,81,87.0,85,84,79,76,68,87,74,93,76,86
,,82.0,87,84,91,,79,76,,87,91,90,85,92,81.0,83,,,,87,,95,89,90,76,88,72.0,87,88,76,80,83,84.0,70,85,85,93,91,82,91,91,82,88
81,79,65.0,60,88,87,,,,,81,60,71,98,65,,68,,81,76.0,67,,72,75,87,83,64,72.0,87,79,71,78,,85.0,83,60,83,92,60,73,80,81,60,78
89,90,81.0,82,80,85,,72,77,,77,76,90,93,66,,68,,,82.0,82,,78,87,80,87,81,80.0,86,93,95,86,,81.0,83,73,90,89,81,89,86,95,92,90
,,84.0,,,,,62,64,,,,,30,48,,60,79,,66.0,,64,,63,80,70,73,,,,,,69,,30,60,62,30,64,,65,,,61
79,,,,79,83,75,,,82,66,83,84,92,80,77.0,85,87,80,,78,82,,,79,83,74,84.0,97,85,80,80,,90.0,,75,71,98,72,81,,93,80,78
,,65.0,,83,,,,,,,,,,,,,,,,,,,,,,,63.0,,,86,,,86.0,,,,,,,,,,
81,86,73.0,92,98,98,81,,,77,84,,87,98,81,,87,83,75,,72,91,,88,98,92,77,86.0,73,71,73,87,,93.0,,84,80,87,84,,,82,75,79
97,93,94.0,97,87,98,,79,84,,87,89,94,98,91,,84,92,90,90.0,81,,86,91,98,92,97,91.0,99,,92,92,95,95.0,98,95,98,83,94,96,81,94,87,93
,,80.0,,92,,79,,,93,78,,,,,,,,,,,,,,,,,,100,,93,,,95.0,,,,,,,,,90,78
,,,,87,87,,,,,88,,,,90,93.0,,92,95,,90,95,,,92,87,90,88.0,99,,92,,,,,,,,,,,94,80,92
92,80,99.0,95,87,87,,78,86,,94,89,87,98,93,,89,94,93,95.0,93,,97,96,92,92,93,93.0,90,,,88,97,94.0,87,85,100,98,92,98,86,94,92,88
71,85,62.0,60,85,86,,83,78,,71,61,78,92,74,,70,,73,76.0,74,,80,77,79,83,67,79.0,83,80,71,85,,83.0,92,69,83,98,66,73,87,71,71,69
,,97.0,,98,,81,,,90,67,,,,,,,,,,,,,,,,,,99,,100,,,,,,,,,,,,90,95
88,,95.0,93,87,92,74,,,,,77,86,98,89,91.0,78,83,85,,72,85,,,83,77,90,90.0,82,75,83,80,90,84.0,76,87,83,92,84,82,,91,83,87
74,,74.0,89,92,92,,,,79,83,87,89,98,86,82.0,83,83,77,,86,86,,,83,87,90,92.0,82,84,93,82,,93.0,,85,88,87,81,,,92,81,85
82,93,93.0,85,98,98,83,,,92,88,,91,98,87,,,98,84,,94,,,,92,92,78,88.0,100,90,94,91,93,92.0,,78,93,92,87,88,,97,92,95
81,82,87.0,86,85,92,,75,78,,91,81,89,92,81,,84,98,91,,82,,61,87,98,83,88,94.0,84,75,88,89,,89.0,85,83,92,83,87,,83,86,75,82
79,,86.0,76,92,83,80,,,81,79,82,78,83,60,78.0,70,83,73,,77,76,,,87,87,80,78.0,84,78,85,84,,93.0,,75,81,83,84,81,,75,80,81
,,94.0,81,92,92,85,,,81,88,,,,72,84.0,,85,85,,67,85,,80,92,73,80,84.0,86,82,65,,,,,,,,,,,83,66,77
