xh,高等数学i1,线性代数与解析几何ii,大学物理实验i1,大学物理ii1,高等数学i2,程序设计基础,工程制图iii,电路,概率统计与随机过程,数据结构与算法i,离散数学a,大学物理实验i2,数据结构与程序设计专题实验,面向对象程序设计,大学物理ii2,模拟电子技术基础,形式语言与编译,电子技术实验1,编译器设计专题实验,电子技术实验2,数字逻辑电路,汇编语言,数学建模ii,数理逻辑,计算机组成,操作系统原理i,计算机网络原理,操作系统设计专题实验,计算机组成与结构专题实验,人工智能,计算机图形学,数据库系统,计算机网络专题实验,软件工程,计算机系统综合设计实验,软件定义网络,毕业设计（论文）
ef587b318bf7db67e2ccf95e4b0e1bf1,83,95,83,95,85,96,91,85,82,88,86,87,95,92,92,90,86,83,78,87,90,87,97,90,80,87,72,92,95,,80,78,83,72,92,,83
0258116af16119325cb71265a7d24c1a,92,,87,99,88,90,94,93,93,93,93,87,94,94,95,97,89,92,88,92,93,96,,95,85,87,92,98,100,92,97,89,98,86,87,98,83
bf3925862b6c497f9c098ed97a5f2f18,,93,87,100,,98,,97,90,91,89,87,92,94,96,93,80,92,87,92,83,93,99,,89,87,90,98,97,89,92,89,92,84,92,88,92
711eab7c2d6ecf7994d82824e75b1552,88,98,92,,89,100,84,78,87,86,89,92,91,95,,91,75,79,70,92,79,84,,,89,82,84,92,95,81,88,79,79,62,87,,73
e7db455e3a3a22e492da35f499eaa2f4,83,96,87,89,84,90,83,79,64,81,80,87,85,90,86,87,77,98,85,76,83,81,94,88,79,72,74,92,100,79,73,79,92,67,87,80,83
24bb0bc4550a28af26947172ab994dd0,81,85,92,86,79,77,80,72,67,93,76,92,88,87,89,94,82,98,85,87,85,92,98,,86,82,92,87,95,98,88,77,83,69,87,84,87
c1268333ff603e755db5737ce6bd4d52,82,79,83,79,80,72,78,77,75,72,78,87,82,84,79,83,73,92,85,83,70,89,93,81,70,78,82,92,95,,78,80,98,91,98,,83
ffa4a5d2026965af2efea8baf1def0a5,87,82,87,94,82,76,88,81,78,83,87,87,87,86,86,88,81,92,76,92,72,87,95,92,79,87,86,92,100,78,81,81,92,72,87,84,92
bdd7c0bd7a748876f63a73bfb3591e0d,76,85,83,94,84,80,72,87,88,80,88,79,79,95,86,85,80,79,90,87,87,88,,,69,94,91,83,95,86,,75,79,70,87,88,92
0409f58b09458ce5c3deb73e7a33e56e,91,,92,92,87,97,,85,80,85,83,87,92,97,88,99,87,98,85,87,94,93,97,94,92,87,87,98,100,87,96,78,92,87,92,91,92
b0bf287a2696347a680d620af0a89e54,86,,79,88,78,85,87,74,61,81,81,83,88,83,76,95,76,92,72,92,78,67,91,79,65,74,67,70,95,,85,70,66,68,87,75,87
2c1931304ff0fdc5971cb2006eea20bd,,70,,74,,,,78,66,,83,83,,83,70,66,79,79,70,87,76,83,85,,81,73,81,87,90,66,78,81,87,65,98,,83
8838645aa7ad303a045ba9ea44410702,80,89,83,79,84,87,90,87,81,88,84,87,95,96,78,93,79,87,71,92,90,85,95,,76,78,83,87,83,82,,82,83,61,87,75,73
57eb61eb3051d679b760edddf0c5ec7a,84,90,87,97,87,81,96,88,76,80,84,87,95,89,91,83,74,98,78,92,80,88,,82,75,87,80,92,95,,85,88,92,78,87,82,87
c08d30928d293772923664df40cd0e5d,81,74,76,77,62,83,39,50,40,65,74,83,60,75,54,0,20,87,0,76,63,61,,,20,37,68,30,70,0,73,20,70,45,62,,
443296ee4e804cbd15c7e75ee3dabbf3,78,92,92,89,74,100,92,88,76,78,77,87,92,86,87,86,73,92,78,92,87,78,96,,70,80,81,98,95,90,93,78,87,78,87,85,83
07fb6c170d1e7fde17a27805f68394f2,,,,,,75,,74,63,76,80,87,81,76,,61,84,87,66,92,62,65,73,77,82,77,65,87,95,68,76,71,76,63,87,79,87
