xh,C#程序设计,C＋＋程序设计,JAVA语言程序设计,Java程序设计,Python数据处理,“数据结构与程序设计”专题实验,云计算原理与应用,人工智能,人工智能导论,优化方法基础,可视化程序设计,大学计算机,大学计算机I,大学计算机III,大学计算机IV,大学计算机基础I,大学计算机基础II,大学计算机基础III,大学计算机基础（民族预科）,大数据技术与应用,嵌入式智能系统,嵌入式系统,并行优化及程序设计,形式语言与编译,微机原理与接口技术,操作系统,操作系统原理,操作系统原理I,操作系统设计专题实验,数字图像处理与压缩编码技术,数字逻辑电路,数据仓库与数据挖掘,数据库基础及应用,数据库系统,数据结构,数据结构与程序设计专题实验,数据结构与算法A,数据结构与算法A（拔尖班）,数据结构与算法I,数据结构与算法II,数理逻辑,汇编语言,物联网信息安全,物联网应用概论,电子系统设计专题实验1,电子系统设计专题实验2,离散数学A,程序设计与问题求解,程序设计基础,算法分析与设计,算法设计与分析,算法设计与问题求解,组合数学,编译器设计专题实验,网络与信息安全,网络空间安全导论,计算之美,计算机体系结构,计算机图形学,计算机科学技术导论,计算机科学技术导论（少）,计算机程序设计,计算机系统导论,计算机系统综合设计实验,计算机组成,计算机组成与结构专题实验,计算机组成原理,计算机网络,计算机网络专题实验,计算机网络原理,计算机视觉与模式识别,认知计算与机器学习,软件定义网络,软件工程,面向对象与数据分析（C#）,面向对象程序设计,高性能计算导论,高级程序设计
000ff90ed8b9ddec42620ec3f84c9dff,0.0,0.0,0.0,0.0,0.0,92.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,98.0,87.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,72.0,0.0,92.0,90.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,98.0,86.0,73.0,0.0,0.0,0.0,83.0,90.0,72.0,0.0,0.0,87.0,82.0,0.0,0.0,84.0,93.0,0.0,94.0,0.0,0.0
003d7d9d852796d75079afc0a5dffd63,0.0,0.0,61.0,0.0,0.0,0.0,0.0,65.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,114.0,177.0,0.0,0.0,0.0,0.0,60.0,0.0,79.0,0.0,0.0,63.0,0.0,73.0,60.0,0.0,0.0,0.0,83.0,75.0,0.0,92.0,62.0,0.0,0.0,74.0,79.0,0.0,0.0,0.0,0.0,64.0,88.0,0.0,0.0,0.0,113.0,149.0,122.0,0.0,0.0,76.0,100.0,60.0,0.0,64.0,150.0,0.0,79.0,0.0,0.0
00447c962bc4fc3e461a8fddb7de11db,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,86.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00616e4b8dec25fcf24ccd6c556d1a13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,90.0,98.0,0.0,0.0,83.0,0.0,90.0,0.0,92.0,0.0,0.0,90.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,92.0,0.0,80.0,74.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,76.0,87.0,87.0,0.0,0.0,87.0,90.0,0.0,0.0,94.0,0.0,0.0,97.0,0.0,0.0
0062c5d8f780ba2bc295400c1cc73a7b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00780671b15c41adebb4d039c4931324,0.0,0.0,0.0,0.0,0.0,87.0,0.0,81.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,86.0,92.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,88.0,0.0,86.0,81.0,0.0,0.0,0.0,0.0,89.0,0.0,91.0,83.0,0.0,0.0,63.0,79.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,83.0,87.0,83.0,0.0,0.0,92.0,74.0,0.0,0.0,88.0,74.0,0.0,86.0,0.0,0.0
008a7f53b0bc586dff1eb7e0be77cd14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,88.0,83.0,0.0,0.0,0.0,0.0,76.0,0.0,98.0,0.0,0.0,79.0,0.0,87.0,93.0,0.0,0.0,0.0,0.0,84.0,0.0,99.0,85.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,81.0,87.0,0.0,0.0,0.0,85.0,84.0,79.0,0.0,0.0,76.0,68.0,0.0,0.0,87.0,74.0,0.0,93.0,0.0,0.0
00e54b919cf8c2d76a2a81497e330efc,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,91.0,0.0,0.0,0.0,90.0,85.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,72.0,0.0,87.0,88.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,84.0,83.0,84.0,0.0,0.0,0.0,70.0,85.0,85.0,0.0,0.0,93.0,91.0,0.0,0.0,82.0,91.0,0.0,91.0,0.0,0.0
00e8de159ad98b8c3e86f6a993d07cdd,0.0,0.0,0.0,0.0,0.0,80.0,0.0,81.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,60.0,0.0,0.0,0.0,71.0,98.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,81.0,0.0,76.0,75.0,0.0,0.0,0.0,0.0,72.0,0.0,87.0,79.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,83.0,114.0,83.0,0.0,0.0,92.0,60.0,0.0,0.0,73.0,80.0,0.0,81.0,0.0,0.0
00ec859ea91d786118e6b4235d66f0c3,0.0,0.0,0.0,0.0,0.0,79.0,0.0,89.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,90.0,93.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,90.0,0.0,0.0,0.0,82.0,87.0,0.0,0.0,0.0,0.0,80.0,0.0,86.0,93.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,83.0,73.0,90.0,0.0,0.0,89.0,81.0,80.0,0.0,89.0,86.0,0.0,95.0,0.0,0.0
