人工智能,优化方法基础,大学物理II-1,大学物理II-2,大学物理实验I-1,大学物理实验I-2,大学英语i,大学英语iii1,大学英语iii2,大学计算机iii,工程制图,形式语言与编译,操作系统原理i,操作系统设计专题实验,数字逻辑电路,数学建模ii,数据库系统,数据结构与程序设计专题实验,数据结构与算法i,数理逻辑,概率统计与随机过程,模拟电子技术,模拟电子技术基础,汇编语言,电子技术实验1,电子技术实验2,电路,离散数学a,程序设计基础,算法分析与设计,线性代数与解析几何,编译器设计专题实验,计算机图形学,计算机科学技术导论,计算机系统综合设计实验,计算机组成,计算机组成与结构专题实验,计算机网络专题实验,计算机网络原理,软件定义网络,软件工程,面向对象程序设计,高等数学I-1,高等数学I-2
84,0,92,92,86,82,0,90,82,0,75,83,98,87,85,99,80,0,0,0,91,0,92,96,80,83,77,72,92,90,93,83,86,73,83,90,72,87,82,84,93,94,96,94
65,64,85,67,88,79,0,73,76,0,67,62,69,87,66,0,60,79,63,73,75,0,60,60,92,79,60,75,92,62,71,79,64,88,83,88,62,76,75,64,76,79,75,62
0,0,93,88,98,87,85,0,0,76,87,0,0,0,82,94,0,87,89,0,86,87,0,0,87,87,67,75,86,86,92,0,0,92,0,0,0,0,0,0,0,0,81,87
95,0,97,96,98,98,80,0,0,0,0,70,90,98,87,93,90,92,90,0,96,89,0,91,92,87,95,92,80,74,94,84,0,92,76,87,87,87,90,94,0,97,92,96
0,0,94,0,98,0,68,0,0,78,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,93,0,0,93,0,0,0,0,0,0,0,0,86,85
81,85,90,89,79,83,0,90,84,0,80,66,86,92,73,0,69,0,88,86,93,0,77,81,83,79,97,89,91,83,78,79,0,82,83,87,83,92,74,88,74,86,81,84
83,88,82,85,85,92,0,82,85,0,90,68,88,83,90,93,76,98,79,87,73,0,66,93,92,87,81,84,99,85,87,87,81,87,85,84,79,76,68,87,74,93,76,86
0,0,82,87,84,91,0,79,76,0,87,91,90,85,92,81,83,0,0,0,87,0,95,89,90,76,88,72,87,88,76,80,83,84,70,85,85,93,91,82,91,91,82,88
81,79,65,60,88,87,0,0,0,0,81,60,71,98,65,0,68,0,81,76,67,0,72,75,87,83,64,72,87,79,71,78,0,85,83,60,83,92,60,73,80,81,60,78
89,90,81,82,80,85,0,72,77,0,77,76,90,93,66,0,68,0,0,82,82,0,78,87,80,87,81,80,86,93,95,86,0,81,83,73,90,89,81,89,86,95,92,90
0,0,84,0,0,0,0,62,64,0,0,0,0,30,48,0,60,79,0,66,0,64,0,63,80,70,73,0,0,0,0,0,69,0,30,60,62,30,64,0,65,0,0,61
79,0,0,0,79,83,75,0,0,82,66,83,84,92,80,77,85,87,80,0,78,82,0,0,79,83,74,84,97,85,80,80,0,90,0,75,71,98,72,81,0,93,80,78
0,0,65,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,86,0,0,86,0,0,0,0,0,0,0,0,0,0
81,86,73,92,98,98,81,0,0,77,84,0,87,98,81,0,87,83,75,0,72,91,0,88,98,92,77,86,73,71,73,87,0,93,0,84,80,87,84,0,0,82,75,79
97,93,94,97,87,98,0,79,84,0,87,89,94,98,91,0,84,92,90,90,81,0,86,91,98,92,97,91,99,0,92,92,95,95,98,95,98,83,94,96,81,94,87,93
0,0,80,0,92,0,79,0,0,93,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,93,0,0,95,0,0,0,0,0,0,0,0,90,78
0,0,0,0,87,87,0,0,0,0,88,0,0,0,90,93,0,92,95,0,90,95,0,0,92,87,90,88,99,0,92,0,0,0,0,0,0,0,0,0,0,94,80,92
92,80,99,95,87,87,0,78,86,0,94,89,87,98,93,0,89,94,93,95,93,0,97,96,92,92,93,93,90,0,0,88,97,94,87,85,100,98,92,98,86,94,92,88
71,85,62,60,85,86,0,83,78,0,71,61,78,92,74,0,70,0,73,76,74,0,80,77,79,83,67,79,83,80,71,85,0,83,92,69,83,98,66,73,87,71,71,69
0,0,97,0,98,0,81,0,0,90,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,100,0,0,0,0,0,0,0,0,0,0,0,90,95
88,0,95,93,87,92,74,0,0,0,0,77,86,98,89,91,78,83,85,0,72,85,0,0,83,77,90,90,82,75,83,80,90,84,76,87,83,92,84,82,0,91,83,87
74,0,74,89,92,92,0,0,0,79,83,87,89,98,86,82,83,83,77,0,86,86,0,0,83,87,90,92,82,84,93,82,0,93,0,85,88,87,81,0,0,92,81,85
82,93,93,85,98,98,83,0,0,92,88,0,91,98,87,0,0,98,84,0,94,0,0,0,92,92,78,88,100,90,94,91,93,92,0,78,93,92,87,88,0,97,92,95
81,82,87,86,85,92,0,75,78,0,91,81,89,92,81,0,84,98,91,0,82,0,61,87,98,83,88,94,84,75,88,89,0,89,85,83,92,83,87,0,83,86,75,82
79,0,86,76,92,83,80,0,0,81,79,82,78,83,60,78,70,83,73,0,77,76,0,0,87,87,80,78,84,78,85,84,0,93,0,75,81,83,84,81,0,75,80,81
0,0,94,81,92,92,85,0,0,81,88,0,0,0,72,84,0,85,85,0,67,85,0,80,92,73,80,84,86,82,65,0,0,0,0,0,0,0,0,0,0,83,66,77
86,80,93,90,87,87,0,79,80,0,79,68,83,87,82,0,85,79,82,0,79,0,90,71,98,87,92,80,69,90,91,72,90,89,92,85,95,83,79,84,75,73,87,82
94,0,88,85,87,87,0,85,84,0,89,81,93,87,91,98,87,82,70,90,86,0,95,80,92,92,79,88,84,82,96,71,94,0,83,86,95,87,84,82,81,92,81,88
92,0,95,88,87,87,0,85,79,0,88,85,87,87,90,98,75,95,89,97,86,0,95,89,98,87,82,89,89,0,0,84,0,0,87,85,95,83,81,88,83,93,89,92
74,0,92,76,87,87,0,0,0,0,74,67,71,87,83,96,76,85,66,0,81,0,80,66,87,87,84,74,91,0,91,65,84,0,79,76,95,76,68,79,62,79,95,86
88,0,90,80,87,79,0,76,83,0,85,88,90,98,89,88,77,92,83,89,80,0,71,83,87,92,78,77,92,79,80,91,0,91,85,80,98,87,88,90,76,92,82,89
60,74,67,80,83,85,0,84,89,0,80,70,60,92,65,0,82,0,83,0,90,0,60,80,92,92,87,84,90,60,71,79,0,77,79,60,79,92,60,92,82,92,68,78
84,84,63,72,85,86,0,78,74,0,67,65,83,92,76,0,66,0,90,85,77,0,87,75,76,83,89,71,77,88,73,81,0,86,92,85,83,92,75,84,70,77,64,72
87,0,92,88,92,87,0,76,82,0,0,87,87,98,94,97,78,92,85,94,80,0,99,93,98,87,85,83,97,0,0,85,96,0,92,92,100,92,87,91,87,97,91,87
89,74,86,86,87,87,0,75,82,0,80,65,65,76,84,0,80,95,71,80,66,0,62,0,98,87,78,91,89,0,85,74,86,90,98,77,90,79,81,76,72,83,79,71
73,0,97,87,87,87,0,74,81,0,87,73,75,87,68,96,79,83,74,0,66,0,79,82,92,92,79,86,93,87,81,71,0,89,83,80,95,76,60,73,68,0,64,75
0,0,0,0,83,87,73,0,0,78,90,0,0,0,83,95,0,98,95,0,97,98,0,0,87,98,86,88,95,90,89,0,0,90,0,0,0,0,0,0,0,88,85,82
0,0,0,0,87,92,77,0,0,86,74,0,0,0,78,85,0,87,89,0,76,95,0,0,92,79,91,86,76,84,85,0,0,0,0,0,0,0,0,0,0,84,70,75
89,0,0,0,87,83,0,78,83,0,84,80,95,92,87,98,82,87,86,93,80,0,87,88,92,87,86,86,94,0,85,73,96,0,92,88,100,83,86,75,80,96,90,79
67,0,91,79,83,73,0,79,80,0,99,73,80,70,84,96,80,83,83,90,66,0,88,70,92,98,80,89,91,87,81,76,83,90,85,75,73,87,74,65,73,86,87,64
91,0,89,90,85,83,0,69,80,0,82,77,89,92,88,80,83,95,85,92,81,0,74,86,83,92,81,86,92,0,84,88,90,88,92,84,79,87,84,90,80,88,81,85
0,75,93,93,87,79,68,0,0,83,88,78,81,87,85,0,86,92,87,0,93,89,0,0,83,87,89,92,82,85,82,70,0,91,0,80,84,87,81,71,0,93,80,84
0,0,0,0,92,0,0,0,0,77,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,92,0,0,0,0,0,0,0,0,0,0,0,87,88
0,87,91,100,87,98,0,73,86,0,88,79,60,60,80,93,84,93,92,93,92,0,92,94,98,79,94,60,60,60,0,79,0,81,98,60,60,87,60,96,84,0,0,0
26,90,75,70,82,72,0,80,83,0,87,74,71,30,82,0,65,0,74,0,60,0,94,91,92,92,60,69,90,5,75,90,0,75,66,60,62,73,84,68,60,86,62,74
0,0,67,67,87,83,0,0,0,70,0,0,0,0,64,87,0,83,66,0,26,38,0,69,87,79,44,69,0,69,93,0,0,84,0,0,0,0,0,0,0,71,0,0
0,0,97,0,83,0,80,0,0,80,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,98,0,0,0,0,0,0,0,0,0,0,0,83,91
0,0,92,96,87,87,83,0,0,83,85,0,0,0,84,95,0,83,94,0,90,98,0,0,83,83,96,97,84,89,95,0,0,87,0,0,0,0,0,0,0,94,83,85
0,0,94,86,87,87,72,0,0,0,0,0,0,0,0,92,0,83,90,0,90,92,0,0,87,87,85,87,90,86,79,0,0,0,0,0,0,0,0,0,0,93,81,84
0,80,86,90,79,83,80,0,0,88,78,83,86,98,82,93,87,92,97,0,87,93,0,83,92,87,90,87,94,85,81,86,0,90,72,87,98,98,94,0,0,91,81,70
0,0,95,0,98,0,81,0,0,74,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,99,0,0,90,0,0,0,0,0,0,0,0,90,90
74,62,85,68,82,87,0,71,73,0,82,60,66,98,62,0,74,92,74,0,66,0,70,66,92,79,61,90,93,80,69,79,0,87,88,80,83,76,60,86,77,92,75,80
0,0,92,89,98,98,0,0,0,96,94,0,0,0,83,88,0,92,94,0,85,95,0,95,98,98,94,94,100,91,89,0,0,91,0,0,0,0,0,0,0,0,74,79
68,0,0,0,0,87,0,82,84,0,65,84,77,87,62,73,71,81,76,77,63,0,61,65,87,92,74,80,75,0,0,66,76,0,87,82,95,76,65,79,63,76,0,0
81,88,93,92,88,83,0,80,88,0,0,82,88,98,79,85,89,83,89,92,92,0,89,87,98,79,92,82,95,78,90,90,0,99,88,90,79,83,89,95,86,0,0,0
0,0,95,91,98,98,0,0,0,82,81,0,0,0,88,94,0,92,99,0,91,96,0,0,87,92,89,97,89,82,95,0,0,91,0,0,0,0,0,0,0,95,76,80
0,0,86,92,92,98,0,0,0,94,77,0,0,0,80,94,0,92,98,0,78,95,0,0,87,83,90,87,97,74,89,0,0,0,0,0,0,0,0,0,0,87,77,70
93,0,85,91,91,87,0,78,77,0,82,67,86,92,74,97,78,0,82,0,98,0,79,87,87,85,90,78,89,90,96,88,0,86,87,87,98,87,69,90,87,96,90,90
89,0,89,92,92,98,80,0,0,79,84,82,92,98,83,85,84,83,82,0,88,89,0,0,92,83,88,87,73,82,75,87,0,94,0,82,92,92,86,0,0,88,69,71
0,0,97,87,83,92,0,0,0,72,0,0,0,0,80,88,0,92,88,0,88,80,0,0,92,83,79,85,98,83,94,0,0,0,0,0,0,0,0,0,0,0,81,94
77,0,87,83,87,83,0,81,88,0,73,74,74,92,87,91,82,86,77,0,71,0,94,80,92,98,67,70,81,87,79,66,83,0,92,83,95,83,79,95,77,79,77,77
0,0,96,91,83,92,74,0,0,66,71,68,86,92,74,92,87,87,93,0,91,97,0,89,87,81,93,92,83,85,83,83,86,84,76,87,87,92,86,94,0,93,88,73
78,67,70,68,80,87,0,78,78,0,64,61,67,92,66,0,74,0,63,78,67,0,62,79,76,92,71,72,89,84,84,79,0,83,76,75,98,92,68,69,76,85,88,68
62,0,74,83,87,87,82,0,0,85,80,47,55,87,71,76,62,87,79,0,61,75,0,0,98,87,90,78,68,71,88,79,72,94,0,42,77,83,63,0,0,79,80,78
85,0,94,91,83,87,0,88,81,0,81,81,92,98,86,94,78,92,87,87,81,0,93,86,92,98,90,83,99,0,95,78,92,0,87,81,95,98,83,81,78,97,92,95
81,83,82,80,88,79,0,74,76,0,62,79,85,92,85,0,85,87,82,0,68,0,67,86,79,79,77,68,82,78,80,76,90,83,88,89,70,76,81,85,78,81,70,75
65,85,95,87,78,80,0,73,73,0,0,69,82,83,77,0,67,0,87,82,90,0,81,83,76,87,85,88,0,86,94,78,0,88,79,64,79,87,71,72,73,0,0,0
0,0,94,96,87,92,83,0,0,0,0,0,0,0,90,94,0,85,94,0,93,96,0,0,87,87,87,94,94,92,93,0,0,0,0,0,0,0,0,0,0,94,88,94
0,0,92,89,92,98,78,0,0,83,84,0,0,0,88,90,0,85,96,0,86,99,0,0,92,87,91,89,100,92,96,0,0,0,0,0,0,0,0,0,0,94,70,80
0,0,99,0,98,0,87,0,0,88,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,97,0,0,86,0,0,0,0,0,0,0,0,98,94
90,83,87,89,84,92,0,81,89,0,73,84,87,92,82,0,85,79,80,87,84,0,60,85,92,83,88,88,88,86,89,77,94,92,90,85,79,79,96,90,83,83,75,84
80,90,90,86,98,87,0,0,0,98,93,86,91,98,74,0,91,87,85,0,91,86,0,0,87,79,92,88,100,85,89,98,0,90,0,70,90,87,89,0,0,92,86,87
0,0,88,0,87,0,71,0,0,75,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,93,0,0,0,0,0,0,0,0,0,0,0,84,85
0,0,94,94,98,98,80,0,0,0,0,0,0,0,92,90,0,90,99,0,94,98,0,0,87,92,96,92,97,87,95,0,0,0,0,0,0,0,0,0,0,94,79,88
