人工智能,优化方法基础,大学物理II-1,大学物理II-2,大学物理实验I-1,大学物理实验I-2,大学英语i,大学英语iii1,大学英语iii2,大学计算机iii,工程制图,形式语言与编译,操作系统原理i,操作系统设计专题实验,数字逻辑电路,数学建模ii,数据库系统,数据结构与程序设计专题实验,数据结构与算法i,数理逻辑,概率统计与随机过程,模拟电子技术,模拟电子技术基础,汇编语言,电子技术实验1,电子技术实验2,电路,离散数学a,程序设计基础,算法分析与设计,线性代数与解析几何,编译器设计专题实验,计算机图形学,计算机科学技术导论,计算机系统综合设计实验,计算机组成,计算机组成与结构专题实验,计算机网络专题实验,计算机网络原理,软件定义网络,软件工程,面向对象程序设计,高等数学I-1,高等数学I-2
84.0,0.0,92.0,92.0,86.0,82.0,0.0,90.0,82.0,0.0,75.0,83.0,98.0,87.0,85.0,99.0,80.0,0.0,0.0,0.0,91.0,0.0,92.0,96.0,80.0,83.0,77.0,72.0,92.0,90.0,93.0,83.0,86.0,73.0,83.0,90.0,72.0,87.0,82.0,84.0,93.0,94.0,96.0,94.0
65.0,64.0,85.0,67.0,88.0,79.0,0.0,73.0,76.0,0.0,67.0,62.0,69.0,87.0,66.0,0.0,60.0,79.0,63.0,73.0,75.0,0.0,60.0,60.0,92.0,79.0,60.0,75.0,92.0,62.0,71.0,79.0,64.0,88.0,83.0,88.0,62.0,76.0,75.0,64.0,76.0,79.0,75.0,62.0
0.0,0.0,93.0,88.0,98.0,87.0,85.0,0.0,0.0,76.0,87.0,0.0,0.0,0.0,82.0,94.0,0.0,87.0,89.0,0.0,86.0,87.0,0.0,0.0,87.0,87.0,67.0,75.0,86.0,86.0,92.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,87.0
95.0,0.0,97.0,96.0,98.0,98.0,80.0,0.0,0.0,0.0,0.0,70.0,90.0,98.0,87.0,93.0,90.0,92.0,90.0,0.0,96.0,89.0,0.0,91.0,92.0,87.0,95.0,92.0,80.0,74.0,94.0,84.0,0.0,92.0,76.0,87.0,87.0,87.0,90.0,94.0,0.0,97.0,92.0,96.0
0.0,0.0,94.0,0.0,98.0,0.0,68.0,0.0,0.0,78.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,93.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,85.0
81.0,85.0,90.0,89.0,79.0,83.0,0.0,90.0,84.0,0.0,80.0,66.0,86.0,92.0,73.0,0.0,69.0,0.0,88.0,86.0,93.0,0.0,77.0,81.0,83.0,79.0,97.0,89.0,91.0,83.0,78.0,79.0,0.0,82.0,83.0,87.0,83.0,92.0,74.0,88.0,74.0,86.0,81.0,84.0
83.0,88.0,82.0,85.0,85.0,92.0,0.0,82.0,85.0,0.0,90.0,68.0,88.0,83.0,90.0,93.0,76.0,98.0,79.0,87.0,73.0,0.0,66.0,93.0,92.0,87.0,81.0,84.0,99.0,85.0,87.0,87.0,81.0,87.0,85.0,84.0,79.0,76.0,68.0,87.0,74.0,93.0,76.0,86.0
0.0,0.0,82.0,87.0,84.0,91.0,0.0,79.0,76.0,0.0,87.0,91.0,90.0,85.0,92.0,81.0,83.0,0.0,0.0,0.0,87.0,0.0,95.0,89.0,90.0,76.0,88.0,72.0,87.0,88.0,76.0,80.0,83.0,84.0,70.0,85.0,85.0,93.0,91.0,82.0,91.0,91.0,82.0,88.0
81.0,79.0,65.0,60.0,88.0,87.0,0.0,0.0,0.0,0.0,81.0,60.0,71.0,98.0,65.0,0.0,68.0,0.0,81.0,76.0,67.0,0.0,72.0,75.0,87.0,83.0,64.0,72.0,87.0,79.0,71.0,78.0,0.0,85.0,83.0,60.0,83.0,92.0,60.0,73.0,80.0,81.0,60.0,78.0
89.0,90.0,81.0,82.0,80.0,85.0,0.0,72.0,77.0,0.0,77.0,76.0,90.0,93.0,66.0,0.0,68.0,0.0,0.0,82.0,82.0,0.0,78.0,87.0,80.0,87.0,81.0,80.0,86.0,93.0,95.0,86.0,0.0,81.0,83.0,73.0,90.0,89.0,81.0,89.0,86.0,95.0,92.0,90.0
