形式语言与编译,操作系统原理i,操作系统设计专题实验,数据库系统,编译器设计专题实验,计算机系统综合设计实验,计算机组成,计算机组成与结构专题实验,计算机网络专题实验,计算机网络原理,软件定义网络
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
73,87,98,89,75,85,88,79,87,84,97
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
75,97,98,90,98,76,92,98,92,92,0
67,86,92,78,88,87,87,98,87,69,90
73,91,92,83,77,76,85,76,92,84,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
80,87,92,81,83,98,92,83,92,88,84
0,0,0,0,0,0,0,0,0,0,0
72,87,98,70,90,98,79,98,83,74,87
94,86,98,90,96,0,83,96,92,87,0
86,89,98,84,86,98,87,98,92,85,88
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
84,92,98,82,90,98,97,98,98,88,69
87,92,97,86,96,92,85,90,90,82,90
0,91,98,91,93,0,87,94,87,85,0
0,0,0,0,0,0,0,0,0,0,0
94,97,88,88,84,98,92,85,90,97,76
0,0,0,0,0,0,0,0,0,0,0
93,90,92,86,74,85,86,88,87,82,94
86,91,98,93,90,90,99,98,87,97,97
71,85,98,94,93,76,85,98,87,92,0
0,0,0,0,0,0,0,0,0,0,0
88,90,98,91,93,0,78,92,92,84,0
93,95,98,95,77,98,93,100,98,92,99
82,88,98,86,83,98,94,98,98,85,83
0,0,0,0,0,0,0,0,0,0,0
80,89,98,87,84,0,80,95,92,90,0
93,85,98,89,88,0,89,94,92,89,0
0,0,0,0,0,0,0,0,0,0,0
70,90,98,90,84,76,87,87,87,90,94
79,92,98,85,91,76,89,83,87,87,88
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
70,69,92,76,85,98,71,79,98,67,72
94,89,98,92,94,0,91,80,92,94,0
0,0,0,0,0,0,0,0,0,0,0
77,97,98,93,83,76,92,98,92,94,0
0,0,0,0,0,0,0,0,0,0,0
88,92,92,88,89,98,94,83,92,89,81
91,97,98,87,89,0,92,96,98,94,0
88,93,98,93,79,83,88,95,92,93,90
81,84,98,86,88,92,90,83,87,80,85
81,93,87,87,81,62,92,85,87,87,86
76,90,92,84,90,76,82,85,98,91,89
83,90,98,90,86,92,93,98,92,75,79
0,0,0,0,0,0,0,0,0,0,0
90,90,98,85,96,88,97,92,98,96,98
90,97,92,93,92,76,89,88,92,98,0
0,0,0,0,0,0,0,0,0,0,0
93,90,98,90,84,0,89,98,98,91,92
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
89,94,98,84,95,98,92,83,76,91,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
88,98,98,85,84,76,89,98,92,96,94
87,88,92,84,93,87,88,95,87,87,84
78,87,98,82,86,85,82,83,83,87,0
0,91,98,0,91,0,78,93,92,87,88
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
74,88,92,60,88,60,85,87,66,75,0
87,90,98,88,89,98,90,98,92,60,0
81,85,92,82,79,76,87,79,83,84,75
69,77,92,72,91,83,80,87,98,67,77
79,95,98,91,87,88,91,98,87,95,97
87,97,98,88,83,98,96,98,98,88,88
93,95,98,90,94,0,74,98,98,88,97
0,0,0,0,0,0,0,0,0,0,0
92,92,98,90,84,0,92,93,87,96,0
0,0,0,0,0,0,0,0,0,0,0
89,96,98,88,88,0,90,98,92,74,98
88,95,98,60,97,92,90,92,87,93,94
87,95,98,91,94,98,97,98,92,98,0
86,99,100,84,77,92,82,97,90,87,0
88,90,98,92,86,98,97,98,87,94,94
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
91,89,98,87,82,0,81,95,92,82,0
0,90,92,81,82,0,91,81,87,88,0
86,92,98,85,79,76,80,94,83,75,0
83,96,98,85,88,76,93,83,92,92,0
0,0,0,0,0,0,0,0,0,0,0
81,85,98,72,97,81,88,98,76,89,91
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
91,94,92,83,81,83,77,82,87,84,0
92,87,98,86,82,0,78,93,87,87,0
66,86,92,69,79,83,87,83,92,74,88
89,87,98,89,88,87,85,100,98,92,98
78,81,87,86,70,0,80,84,87,81,71
0,0,0,0,0,0,0,0,0,0,0
75,86,92,76,88,92,80,98,87,82,79
77,88,98,85,97,98,90,98,87,83,92
0,0,0,0,0,0,0,0,0,0,0
84,93,98,88,82,0,93,92,92,82,93
77,82,98,89,82,92,87,83,87,73,87
92,93,98,90,96,0,92,89,98,92,98
94,96,92,92,83,0,87,85,92,94,86
87,85,90,81,96,83,91,80,87,90,87
82,94,95,79,79,70,94,79,87,90,87
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,76,92,89,87,0,80,80,83,76,0
0,0,0,0,0,0,0,0,0,0,0
80,88,98,84,87,98,92,98,92,91,94
93,93,92,89,84,0,90,95,92,94,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,86,87,0,0,0,75,92,0,84,0
87,92,92,86,88,87,98,95,87,88,85
87,94,98,90,87,87,92,100,92,88,99
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
85,94,92,78,82,70,88,70,87,91,85
80,90,98,87,94,76,87,98,92,92,0
88,96,92,85,76,98,94,98,76,93,94
0,0,0,0,0,0,0,0,0,0,0
70,90,98,67,88,98,92,98,87,84,90
87,96,95,74,85,70,86,90,91,89,91
83,86,93,74,83,83,83,90,90,70,89
91,94,92,87,83,98,94,98,92,85,95
0,0,0,0,0,0,0,0,0,0,0
79,89,98,85,82,0,82,76,87,83,0
0,0,0,0,0,0,0,0,0,0,0
79,60,60,84,79,98,60,60,87,60,96
82,88,98,89,90,88,90,79,83,89,95
84,86,98,81,94,92,87,97,83,80,0
83,82,79,77,85,83,71,83,86,71,84
81,95,92,86,84,98,99,98,98,92,90
84,80,92,87,79,98,92,85,98,83,90
0,0,0,0,0,0,0,0,0,0,0
92,90,98,84,78,76,91,83,87,86,96
73,90,98,90,79,88,86,98,76,92,92
69,73,98,76,82,83,80,83,87,68,83
70,0,0,0,92,0,0,0,0,0,0
85,96,92,88,89,0,94,80,87,98,88
78,80,92,73,84,98,88,83,87,78,0
97,91,98,87,89,0,84,97,98,95,0
0,94,98,88,83,0,83,83,87,85,0
0,0,0,0,0,0,0,0,0,0,0
96,84,92,79,86,98,97,88,86,94,0
0,0,0,0,0,0,0,0,0,0,0
0,92,98,89,82,0,88,81,87,89,0
0,0,0,0,0,0,0,0,0,0,0
82,86,98,87,81,0,82,87,87,80,87
0,0,0,0,0,0,0,0,0,0,0
85,77,98,83,84,92,78,98,98,82,77
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
88,94,98,90,91,0,92,92,92,94,0
90,90,98,78,90,98,97,92,79,95,93
88,84,98,83,67,87,92,95,92,88,94
72,85,98,75,82,92,80,98,92,75,91
91,95,98,88,87,0,85,91,92,89,0
80,87,98,82,82,94,85,98,87,86,93
78,97,98,89,86,76,91,92,98,93,99
88,92,92,90,88,98,89,100,92,88,91
83,98,87,80,83,83,90,72,87,82,84
0,0,0,0,0,0,0,0,0,0,0
68,86,92,87,83,76,87,87,92,86,94
86,91,98,91,98,0,70,90,87,89,0
77,92,98,84,80,79,92,83,87,82,83
77,87,92,82,94,98,85,83,76,70,91
82,89,98,81,90,92,93,87,92,86,92
83,89,98,84,87,92,87,100,92,84,90
0,0,0,0,0,0,0,0,0,0,0
91,87,91,77,71,83,87,75,90,83,92
78,94,98,85,92,92,90,98,98,94,90
89,91,92,88,90,92,95,83,98,90,86
87,90,98,87,92,87,79,95,92,84,95
77,83,92,78,86,76,88,79,83,68,70
95,91,92,87,84,0,92,95,87,88,90
0,0,0,0,0,0,0,0,0,0,0
80,87,87,72,68,76,87,100,83,70,0
0,0,0,0,0,0,0,0,0,0,0
95,93,98,90,90,98,94,98,79,89,0
80,92,98,81,86,98,83,100,92,86,89
92,94,98,82,89,98,92,83,98,89,88
65,82,92,82,83,64,82,90,87,91,96
80,90,93,83,80,92,87,92,92,87,90
82,90,98,83,82,98,91,83,76,94,96
83,86,87,74,74,92,86,95,79,84,0
80,60,92,76,77,87,76,95,87,69,82
0,0,0,0,0,0,0,0,0,0,0
80,89,98,88,87,98,94,98,83,92,95
86,92,98,84,84,0,73,88,98,81,0
78,85,98,83,85,92,81,87,98,80,87
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
65,94,98,89,91,76,94,87,87,86,0
87,99,98,88,97,76,89,98,92,94,99
0,0,0,0,0,0,0,0,0,0,0
70,60,92,82,79,79,60,79,92,60,92
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
69,82,83,67,78,79,64,79,87,71,72
76,83,92,75,78,92,94,98,92,83,97
85,92,98,94,85,87,95,95,87,96,87
61,65,0,60,80,0,62,0,0,86,0
88,96,92,86,85,0,93,80,87,93,0
86,91,92,86,84,0,75,90,87,86,0
0,78,98,81,96,0,68,96,87,73,0
75,82,92,78,80,83,75,83,87,87,76
71,87,92,87,79,79,60,76,87,60,72
79,97,98,85,74,76,86,98,83,95,92
72,80,98,77,78,76,85,90,92,91,0
75,85,98,85,80,83,81,95,92,81,89
0,0,0,0,0,0,0,0,0,0,0
60,75,92,68,77,79,61,83,83,76,76
60,75,92,65,89,83,74,85,87,64,79
87,97,97,83,83,83,91,88,91,87,91
73,93,98,79,90,76,89,98,98,92,96
60,80,92,60,60,61,60,98,79,77,0
95,89,98,87,91,0,84,98,98,87,92
0,0,0,0,0,0,0,0,0,0,0
92,96,97,78,86,92,84,80,89,79,91
70,92,98,79,90,98,90,98,98,80,93
65,78,92,76,77,83,79,87,98,77,82
83,91,92,89,87,88,99,79,76,92,88
63,85,98,77,85,92,86,98,98,75,90
86,87,98,91,89,98,83,98,98,81,88
0,0,0,0,0,0,0,0,0,0,0
63,81,92,70,85,76,79,79,83,85,79
74,86,92,80,82,98,89,83,92,80,73
77,87,98,60,90,92,60,60,98,81,96
65,80,92,70,85,92,73,98,87,75,81
95,92,98,83,83,0,89,92,87,93,0
85,69,66,60,88,76,84,85,92,86,0
81,83,92,60,84,92,60,60,92,86,81
81,87,98,86,89,85,94,92,87,79,94
80,85,94,78,88,92,84,83,90,87,93
70,83,98,81,87,85,89,83,76,69,91
79,86,88,76,88,70,78,90,90,81,86
80,87,98,89,87,92,89,97,92,90,88
82,87,98,83,99,98,92,87,83,89,0
84,82,92,79,87,83,75,78,93,84,85
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
80,89,98,85,89,98,96,98,87,91,98
84,93,98,95,90,98,94,100,98,96,98
74,68,98,61,84,87,73,95,87,60,81
0,0,0,0,0,0,0,0,0,0,0
79,94,92,77,82,83,76,78,87,87,90
79,89,88,88,80,70,89,80,92,77,90
93,90,98,85,88,0,79,91,87,80,97
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
88,88,98,91,87,0,80,89,87,82,87
90,84,98,85,82,0,88,81,92,89,0
95,93,98,88,87,0,91,81,92,92,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
88,88,88,86,80,92,69,83,88,87,91
0,91,98,86,95,0,82,96,87,77,0
91,92,98,92,89,0,88,95,92,93,0
79,93,92,84,84,76,97,98,92,95,92
85,87,98,82,82,0,84,84,87,78,87
81,88,92,87,85,0,69,92,92,84,0
77,87,94,81,88,83,84,85,89,95,89
89,91,98,84,82,0,81,95,92,87,84
82,92,98,84,87,0,82,92,92,86,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
69,92,92,82,81,76,88,70,87,88,89
77,91,98,87,80,76,90,85,92,88,0
79,95,96,91,80,70,80,88,90,84,85
81,84,92,84,71,0,93,82,87,75,0
80,83,92,81,83,0,74,94,87,85,0
82,91,98,86,80,98,95,92,79,94,98
70,81,92,91,74,98,77,95,76,87,77
83,99,98,87,87,98,91,98,92,94,91
81,93,98,89,98,0,90,93,92,94,0
88,93,98,84,79,98,98,98,79,94,95
0,81,98,0,0,100,0,0,0,87,0
92,90,98,77,70,87,80,95,73,88,80
84,0,0,0,98,0,0,0,0,0,0
72,66,83,60,6,0,60,27,62,61,0
90,97,98,83,83,87,88,95,92,86,84
90,89,92,86,80,0,79,77,83,91,84
84,84,92,74,83,87,96,83,76,82,91
83,87,98,79,96,90,92,92,83,84,92
77,80,98,80,88,92,85,100,92,88,91
79,88,98,87,94,98,89,98,83,80,94
82,80,87,80,76,87,81,95,87,80,89
85,96,97,77,85,70,86,80,93,85,91
0,0,0,0,0,0,0,0,0,0,0
77,86,98,85,71,87,79,100,87,77,86
84,97,98,84,85,92,95,100,92,90,94
70,65,98,72,79,88,65,79,76,77,85
77,84,98,79,77,92,90,83,92,72,84
0,0,0,0,0,0,0,0,0,0,0
67,82,83,72,70,87,76,95,92,74,71
91,90,98,84,90,0,88,86,87,90,87
80,94,83,75,90,87,69,95,79,91,88
80,85,98,83,74,76,76,73,92,83,0
83,94,98,75,80,83,90,79,90,86,84
0,0,0,0,0,0,0,0,0,0,0
