形式语言与编译,操作系统原理i,操作系统设计专题实验,数据库系统,编译器设计专题实验,计算机组成,计算机组成与结构专题实验,计算机网络专题实验,计算机网络原理
90,97,92,93,92,89,88,92,98
87,95,98,91,94,97,98,92,98
85,96,92,88,89,94,80,87,98
94,97,88,88,84,92,85,90,97
86,91,98,93,90,99,98,87,97
83,92,98,86,89,92,83,92,97
92,89,98,90,89,93,88,98,97
81,83,98,84,89,89,83,92,97
90,90,98,85,96,97,92,98,96
88,98,98,85,84,89,98,92,96
92,92,98,90,84,92,93,87,96
85,92,98,94,85,95,95,87,96
84,93,98,95,90,94,100,98,96
89,89,92,86,84,86,91,87,96
87,94,98,88,84,89,98,98,96
66,88,92,83,67,86,95,87,96
78,92,92,86,90,85,85,92,96
84,87,92,85,77,85,79,79,96
92,93,98,95,82,97,97,92,96
86,91,92,83,90,88,98,92,96
79,95,98,91,87,91,98,87,95
97,91,98,87,89,84,97,98,95
90,90,98,78,90,97,92,79,95
79,97,98,85,74,86,98,83,95
79,93,92,84,84,97,98,92,95
77,87,94,81,88,84,85,89,95
81,94,98,84,91,89,98,98,95
88,93,98,93,90,99,79,87,95
85,90,98,83,90,90,87,92,95
79,91,98,86,85,86,94,92,95
87,92,92,81,80,84,85,79,95
94,89,98,92,94,91,80,92,94
77,97,98,93,83,92,98,92,94
91,97,98,87,89,92,96,98,94
88,90,98,92,86,97,98,87,94
94,96,92,92,83,87,85,92,94
93,93,92,89,84,90,95,92,94
96,84,92,79,86,97,88,86,94
88,94,98,90,91,92,92,92,94
78,94,98,85,92,90,98,98,94
82,90,98,83,82,91,83,76,94
87,99,98,88,97,89,98,92,94
82,91,98,86,80,95,92,79,94
83,99,98,87,87,91,98,92,94
81,93,98,89,98,90,93,92,94
88,93,98,84,79,98,98,79,94
83,86,98,87,86,87,98,98,94
90,85,98,85,88,90,83,76,94
89,88,92,86,76,90,100,98,94
90,91,93,86,79,95,81,90,94
74,82,92,83,95,90,98,98,94
89,94,98,84,92,95,98,83,94
75,92,92,86,84,89,76,87,94
84,92,92,83,89,87,95,92,94
66,89,98,75,92,82,100,98,94
88,93,98,93,79,88,95,92,93
88,95,98,60,97,90,92,87,93
88,96,92,85,76,94,98,76,93
78,97,98,89,86,91,92,98,93
88,96,92,86,85,93,80,87,93
95,92,98,83,83,89,92,87,93
91,92,98,92,89,88,95,92,93
83,94,92,87,70,86,92,87,93
80,92,92,86,89,92,95,98,93
92,88,92,91,90,80,87,87,93
85,92,98,86,91,95,98,98,93
82,88,98,85,93,92,92,83,93
81,94,94,82,89,86,82,92,93
85,89,92,85,88,88,79,92,93
77,98,95,75,82,86,75,90,93
70,90,98,81,74,90,83,87,93
80,91,87,75,74,85,83,79,93
92,90,98,85,92,88,98,98,93
75,97,98,90,98,92,98,92,92
71,85,98,94,93,85,98,87,92
93,95,98,95,77,93,100,98,92
83,96,98,85,88,93,83,92,92
89,87,98,89,88,85,100,98,92
92,93,98,90,96,92,89,98,92
80,90,98,87,94,87,98,92,92
81,95,92,86,84,99,98,98,92
73,90,98,90,79,86,98,76,92
80,89,98,88,87,94,98,83,92
73,93,98,79,90,89,98,98,92
83,91,92,89,87,99,79,76,92
95,93,98,88,87,91,81,92,92
85,93,98,76,84,92,79,87,92
75,92,92,77,84,86,85,87,92
87,92,98,90,76,71,70,87,92
64,94,98,82,77,80,92,98,92
85,85,98,85,86,85,83,87,92
79,88,92,85,83,83,81,92,92
81,94,98,92,96,91,97,98,92
84,84,98,83,84,90,100,92,92
73,91,92,89,79,88,100,87,92
81,83,98,77,85,91,70,79,92
78,88,83,85,76,75,76,87,92
82,82,87,77,85,86,95,83,92
85,96,98,85,76,82,85,83,92
76,90,92,84,90,82,85,98,91
93,90,98,90,84,89,98,98,91
89,94,98,84,95,92,83,76,91
80,88,98,84,87,92,98,92,91
85,94,92,78,82,88,70,87,91
65,82,92,82,83,82,90,87,91
72,80,98,77,78,85,90,92,91
80,89,98,85,89,96,98,87,91
90,89,92,86,80,79,77,83,91
80,94,83,75,90,69,95,79,91
79,82,92,70,81,64,74,76,91
91,90,85,83,80,85,85,93,91
81,92,98,77,91,89,98,92,91
71,87,92,80,93,89,79,83,91
88,93,92,93,93,89,92,98,91
81,82,98,79,91,81,83,76,91
81,85,87,82,69,89,79,87,91
83,90,92,83,90,83,83,98,91
76,90,92,62,90,82,92,76,91
86,91,94,80,97,92,82,90,91
80,89,98,87,84,80,95,92,90
70,90,98,90,84,87,87,87,90
87,85,90,81,96,91,80,87,90
82,94,95,79,79,94,79,87,90
89,91,92,88,90,95,83,98,90
80,87,98,89,87,89,97,92,90
84,97,98,84,85,95,100,92,90
91,90,98,84,90,88,86,87,90
86,96,94,85,83,88,82,87,90
70,87,92,74,76,79,92,76,90
85,92,98,90,72,95,100,98,90
81,84,92,87,88,85,95,92,90
89,90,98,84,82,88,98,98,90
79,97,98,92,90,91,98,98,90
84,83,93,81,80,68,86,88,90
77,92,98,87,94,85,92,92,90
78,86,88,81,75,75,68,89,90
75,86,90,65,80,86,75,92,90
82,90,92,86,85,83,92,76,90
78,85,92,79,85,85,96,83,90
68,87,90,82,70,60,79,85,90
76,78,98,74,83,78,83,92,90
0,87,98,73,0,83,0,0,90
0,0,0,87,0,0,0,0,90
93,85,98,89,88,89,94,92,89
88,92,92,88,89,94,83,92,89
81,85,98,72,97,88,98,76,89
87,96,95,74,85,86,90,91,89
82,88,98,89,90,90,79,83,89
0,92,98,89,82,88,81,87,89
91,95,98,88,87,85,91,92,89
86,91,98,91,98,70,90,87,89
95,93,98,90,90,94,98,79,89
92,94,98,82,89,92,83,98,89
82,87,98,83,99,92,87,83,89
90,84,98,85,82,88,81,92,89
79,93,98,83,87,92,92,92,89
76,96,98,87,80,92,98,98,89
78,92,92,78,89,91,98,76,89
82,86,92,76,84,69,97,87,89
89,89,98,86,80,97,85,94,89
78,85,92,84,91,87,100,87,89
84,85,98,83,80,88,95,92,89
77,94,93,78,80,84,70,90,89
84,90,92,85,83,88,95,92,89
