大学物理II-2,大学物理实验I-1,操作系统设计专题实验,数字逻辑电路,概率统计与随机过程,电路,离散数学a,线性代数与解析几何
78,94,98,86,85,100,88,91
91,92,98,91,99,100,95,87
100,92,98,88,96,100,99,99
98,92,98,95,97,100,94,88
83,89,98,83,94,99,84,95
98,88,98,94,95,99,95,96
0,92,0,85,96,99,95,100
87,87,92,87,87,99,94,96
0,98,0,94,99,99,98,98
96,92,98,92,91,99,88,96
89,91,98,92,92,99,84,97
95,87,92,86,98,99,83,97
84,0,98,91,94,99,88,87
96,98,98,90,97,99,93,87
94,85,98,88,90,99,85,92
88,90,98,82,92,99,76,97
97,0,98,71,83,99,90,80
93,83,92,91,96,99,81,85
95,88,92,85,87,99,88,95
93,98,0,84,94,99,93,97
95,98,98,89,97,99,92,91
0,98,98,81,87,99,92,97
97,86,98,83,92,99,80,94
99,92,98,98,97,99,99,99
0,83,98,94,89,98,94,0
91,92,98,95,96,98,89,90
85,81,92,78,90,98,81,72
87,83,98,90,97,98,76,98
97,88,98,86,94,98,96,97
95,88,98,83,92,98,81,98
92,79,98,82,98,98,80,85
96,88,98,91,94,98,87,78
85,87,0,87,84,98,91,90
100,92,98,92,88,98,95,96
83,92,0,86,95,98,92,96
94,83,98,94,96,98,93,94
91,98,83,82,87,98,87,87
98,83,98,96,97,98,94,0
93,92,0,83,91,98,90,95
89,88,98,90,96,98,89,94
89,79,92,73,93,97,89,78
97,87,98,91,81,97,91,92
97,98,0,86,88,97,95,96
85,98,92,83,90,97,86,91
93,87,0,72,100,97,92,94
94,90,94,86,67,97,91,93
96,85,98,91,88,97,93,0
96,83,98,86,84,97,88,83
88,92,92,87,82,97,85,87
89,83,92,67,82,97,85,89
95,92,0,90,96,97,96,96
96,92,98,86,99,97,95,88
94,98,98,89,94,97,94,92
90,92,98,92,90,97,89,91
86,87,92,80,74,97,74,89
92,98,0,0,86,97,94,95
89,83,92,80,89,97,88,92
86,88,92,93,90,97,94,95
0,98,0,92,96,97,95,99
95,98,98,91,92,97,91,81
96,92,0,89,92,97,94,98
0,87,92,79,77,97,78,81
95,86,89,80,0,97,93,94
0,98,92,89,94,97,89,91
95,86,98,95,94,97,88,0
96,87,98,83,90,97,89,93
90,89,98,90,97,97,93,96
87,98,98,85,94,97,94,92
96,87,98,97,87,97,95,88
97,98,98,92,97,97,96,96
