大学英语i,大学计算机iii,数理逻辑,模拟电子技术基础,汇编语言,软件工程
0,0,0,92,96,93
0,0,73,60,60,76
85,76,0,0,0,0
80,0,0,0,91,0
68,78,0,0,0,0
0,0,86,77,81,74
0,0,87,66,93,74
0,0,0,95,89,91
0,0,76,72,75,80
0,0,82,78,87,86
0,0,66,0,63,65
75,82,0,0,0,0
0,0,0,0,0,0
81,77,0,0,88,0
0,0,90,86,91,81
79,93,0,0,0,0
0,0,0,0,0,0
0,0,95,97,96,86
0,0,76,80,77,87
81,90,0,0,0,0
74,0,0,0,0,0
0,79,0,0,0,0
83,92,0,0,0,0
0,0,0,61,87,83
80,81,0,0,0,0
85,81,0,0,80,0
0,0,0,90,71,75
0,0,90,95,80,81
0,0,97,95,89,83
0,0,0,80,66,62
0,0,89,71,83,76
0,0,0,60,80,82
0,0,85,87,75,70
0,0,94,99,93,87
0,0,80,62,0,72
0,0,0,79,82,68
73,78,0,0,0,0
77,86,0,0,0,0
0,0,93,87,88,80
0,0,90,88,70,73
0,0,92,74,86,80
68,83,0,0,0,0
0,77,0,0,0,0
0,0,93,92,94,84
0,0,0,94,91,60
0,70,0,0,69,0
80,80,0,0,0,0
83,83,0,0,0,0
72,0,0,0,0,0
80,88,0,0,83,0
81,74,0,0,0,0
0,0,0,70,66,77
0,96,0,0,95,0
0,0,77,61,65,63
0,0,92,89,87,86
0,82,0,0,0,0
0,94,0,0,0,0
0,0,0,79,87,87
80,79,0,0,0,0
0,72,0,0,0,0
0,0,0,94,80,77
74,66,0,0,89,0
0,0,78,62,79,76
82,85,0,0,0,0
0,0,87,93,86,78
0,0,0,67,86,78
0,0,82,81,83,73
83,0,0,0,0,0
78,83,0,0,0,0
87,88,0,0,0,0
0,0,87,60,85,83
0,98,0,0,0,0
71,75,0,0,0,0
80,0,0,0,0,0
87,81,0,0,80,0
0,89,0,0,0,0
0,0,0,0,0,0
84,89,0,0,0,0
86,89,0,0,0,0
0,0,0,93,83,68
0,0,90,89,89,81
78,0,0,0,0,0
0,0,0,75,73,79
0,76,0,0,0,0
0,0,71,79,77,70
0,0,69,63,32,34
0,0,0,74,79,77
0,0,82,72,63,66
0,0,77,60,83,71
0,0,87,73,81,67
80,60,0,0,0,0
0,0,98,91,95,87
0,0,78,86,75,76
0,72,0,0,0,0
0,0,88,90,85,85
0,0,0,94,79,70
70,85,0,0,0,0
75,75,0,0,0,0
0,0,91,74,60,74
0,0,98,88,88,79
0,0,73,63,86,71
0,0,61,0,68,78
0,0,0,0,0,0
73,0,0,0,93,0
85,83,0,0,0,0
85,77,0,0,0,0
0,0,88,88,79,75
78,80,0,0,0,0
75,70,0,0,0,0
0,0,0,63,80,80
78,69,0,0,0,0
0,0,82,81,73,80
0,0,95,97,96,84
86,92,0,0,0,0
0,0,0,75,72,78
0,68,0,0,0,0
0,0,0,66,86,78
79,68,0,0,0,0
0,0,94,86,93,86
0,87,0,0,80,0
88,89,0,0,60,0
87,83,0,0,0,0
77,78,0,0,0,0
84,89,0,0,77,0
0,0,88,65,68,75
0,0,0,0,82,0
74,0,0,0,0,0
70,62,0,0,0,0
0,0,0,0,0,0
75,71,0,0,0,0
0,77,0,0,0,0
0,0,72,60,76,70
76,88,0,0,87,0
0,91,0,0,0,0
78,83,0,0,87,0
79,89,0,0,95,0
80,74,0,0,0,0
78,70,0,0,87,0
0,0,95,91,91,77
80,80,0,0,80,0
0,0,0,71,76,79
81,73,0,0,0,0
0,0,0,85,0,84
0,0,0,86,88,76
0,0,61,0,60,60
0,0,98,83,90,85
0,0,99,93,97,90
79,82,0,0,87,0
77,83,0,0,0,0
0,97,0,0,0,0
0,0,0,0,91,0
87,89,0,0,0,0
0,0,96,89,93,60
0,0,0,85,71,79
72,85,0,0,0,0
0,80,0,0,0,0
79,85,0,0,84,0
81,85,0,0,0,0
83,88,0,0,91,0
0,0,87,90,89,71
86,0,0,0,0,0
0,0,0,78,77,65
0,0,88,93,85,77
0,0,70,65,60,70
0,83,0,0,0,0
80,0,0,0,0,0
72,78,0,0,0,0
0,98,0,0,83,0
0,0,0,0,0,0
0,0,0,87,93,82
0,0,86,69,87,68
0,0,89,86,90,83
87,83,0,0,0,0
0,0,95,95,84,86
0,0,71,85,76,65
80,84,0,0,0,0
80,89,0,0,0,0
78,84,0,0,0,0
0,0,0,89,91,60
0,0,76,70,68,66
0,0,79,61,71,70
0,0,94,83,96,84
0,0,0,97,92,88
0,0,99,96,95,90
0,87,0,0,0,0
0,0,0,87,85,75
0,0,92,78,87,84
0,0,0,81,0,71
0,0,0,0,89,0
0,0,0,0,35,0
77,85,0,0,0,0
0,0,60,0,17,0
79,95,0,0,93,0
80,78,0,0,0,0
0,0,0,0,0,76
89,89,0,0,0,0
0,0,86,90,87,84
0,0,0,81,81,77
0,0,92,92,96,90
79,0,0,0,84,80
0,0,71,86,81,82
0,90,0,0,0,0
87,91,0,0,89,0
0,84,0,0,0,0
0,0,80,81,83,69
74,75,0,0,0,0
0,0,88,98,96,91
79,87,0,0,0,0
76,75,0,0,69,0
0,0,0,61,0,0
85,75,0,0,0,0
79,82,0,0,0,0
79,73,0,0,0,0
0,0,0,0,74,0
0,0,0,80,79,71
0,0,0,94,92,69
0,0,0,83,69,84
80,84,0,0,0,0
84,92,0,0,0,0
0,0,81,93,82,85
77,78,0,0,0,0
0,0,0,86,81,80
0,0,97,96,84,78
78,83,0,0,95,0
79,90,0,0,90,0
76,90,0,0,0,0
0,0,0,0,2,0
0,85,0,0,0,0
0,0,94,81,85,73
0,0,85,93,0,92
0,0,0,77,90,85
81,86,0,0,0,0
83,79,0,0,0,0
0,0,87,82,85,72
0,0,73,69,0,67
0,0,90,93,88,85
0,0,76,89,91,80
0,0,0,88,78,80
78,83,0,0,0,0
83,76,0,0,0,0
73,81,0,0,96,0
84,0,0,0,0,0
84,77,0,0,0,0
87,0,0,0,0,0
0,0,92,87,80,77
0,0,98,94,86,81
0,86,0,0,94,0
0,0,90,92,90,73
78,0,0,0,0,0
75,84,0,0,91,0
0,0,0,86,90,82
80,74,0,0,0,0
0,85,0,0,0,0
79,90,0,0,0,0
0,0,0,0,0,0
0,0,89,89,94,73
0,0,98,92,93,84
0,0,20,26,0,39
84,88,0,0,78,0
76,73,0,0,86,0
0,0,83,90,86,86
0,0,96,85,84,74
0,0,0,66,83,65
0,0,86,78,89,80
0,0,0,63,70,74
80,88,0,0,80,0
0,0,0,75,71,69
78,0,0,0,94,0
0,0,83,79,0,82
0,0,0,85,85,80
0,0,92,69,79,71
77,77,0,0,0,0
0,0,93,79,88,88
76,0,0,0,0,0
0,0,93,96,98,87
0,0,84,94,84,85
0,76,0,0,0,0
0,0,94,96,90,76
0,0,70,60,0,0
75,73,0,0,90,0
0,0,87,80,93,83
0,92,0,0,0,0
0,81,0,0,0,0
0,0,68,74,0,66
78,89,0,0,0,0
0,0,79,74,81,72
0,73,0,0,0,0
74,89,0,0,85,0
0,0,87,91,72,73
0,89,0,0,0,0
83,88,0,0,0,0
0,0,0,81,67,79
82,83,0,0,0,0
85,72,0,0,0,0
75,0,0,0,0,0
80,91,0,0,0,0
0,0,0,73,87,81
0,0,0,69,71,71
