高等数学i1,线性代数与解析几何ii,大学物理实验i1,大学物理ii1,高等数学i2,程序设计基础,工程制图iii,电路,概率统计与随机过程,数据结构与算法i,离散数学a,大学物理实验i2,数据结构与程序设计专题实验,面向对象程序设计,大学物理ii2,模拟电子技术基础,形式语言与编译,电子技术实验1,编译器设计专题实验,电子技术实验2,数字逻辑电路,汇编语言,数学建模ii,数理逻辑,计算机组成,操作系统原理i,计算机网络原理,操作系统设计专题实验,计算机组成与结构专题实验,人工智能,计算机图形学,数据库系统,计算机网络专题实验,软件工程,计算机系统综合设计实验,软件定义网络,毕业设计（论文）
83,95,83,95,85,96,91,85,82,88,86,87,95,92,92,90,86,83,78,87,90,87,97,90,80,87,72,92,95,0,80,78,83,72,92,0,83
92,0,87,99,88,90,94,93,93,93,93,87,94,94,95,97,89,92,88,92,93,96,0,95,85,87,92,98,100,92,97,89,98,86,87,98,83
0,93,87,100,0,98,0,97,90,91,89,87,92,94,96,93,80,92,87,92,83,93,99,0,89,87,90,98,97,89,92,89,92,84,92,88,92
88,98,92,0,89,100,84,78,87,86,89,92,91,95,0,91,75,79,70,92,79,84,0,0,89,82,84,92,95,81,88,79,79,62,87,0,73
83,96,87,89,84,90,83,79,64,81,80,87,85,90,86,87,77,98,85,76,83,81,94,88,79,72,74,92,100,79,73,79,92,67,87,80,83
81,85,92,86,79,77,80,72,67,93,76,92,88,87,89,94,82,98,85,87,85,92,98,0,86,82,92,87,95,98,88,77,83,69,87,84,87
82,79,83,79,80,72,78,77,75,72,78,87,82,84,79,83,73,92,85,83,70,89,93,81,70,78,82,92,95,0,78,80,98,91,98,0,83
87,82,87,94,82,76,88,81,78,83,87,87,87,86,86,88,81,92,76,92,72,87,95,92,79,87,86,92,100,78,81,81,92,72,87,84,92
76,85,83,94,84,80,72,87,88,80,88,79,79,95,86,85,80,79,90,87,87,88,0,0,69,94,91,83,95,86,0,75,79,70,87,88,92
91,0,92,92,87,97,0,85,80,85,83,87,92,97,88,99,87,98,85,87,94,93,97,94,92,87,87,98,100,87,96,78,92,87,92,91,92
86,0,79,88,78,85,87,74,61,81,81,83,88,83,76,95,76,92,72,92,78,67,91,79,65,74,67,70,95,0,85,70,66,68,87,75,87
0,70,0,74,0,0,0,78,66,0,83,83,0,83,70,66,79,79,70,87,76,83,85,0,81,73,81,87,90,66,78,81,87,65,98,0,83
